"__mclCluster","EnrichmentMap::-log10(pvalue) (A2_enrichment)","EnrichmentMap::-log10(pvalue)*sign(NES) (A2_enrichment)","EnrichmentMap::-log10(pvalue)_max","EnrichmentMap::Colouring (A2_enrichment)","EnrichmentMap::Dataset_Chart","EnrichmentMap::ES (A2_enrichment)","EnrichmentMap::fdr_qvalue (A2_enrichment)","EnrichmentMap::fwer_qvalue (A2_enrichment)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (A2_enrichment)","EnrichmentMap::pvalue (A2_enrichment)","name","selected","shared name"
"1","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7843","0.0097","0.613","FDFT1|ACAT2|FDPS|NSDHL|MSMO1|SOAT1|CYP51A1|LSS|GGPS1|TM7SF2|LIPA|DHCR24|SC5D|EBP|MVD|HSD17B7|MVK|HMGCR|SQLE|PMVK|IDI1","Lovastatin Action Pathway","21","ENR","LOVASTATIN ACTION PATHWAY%SMPDB%SMP0000099","1.9895","0.0","LOVASTATIN ACTION PATHWAY%SMPDB%SMP0000099","false","LOVASTATIN ACTION PATHWAY%SMPDB%SMP0000099"
"5","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6642","0.0128","0.788","BDH2|ECI2|AUH|IVD|ACOT8|ECHDC2|CPT1A|MTLN|ACOX2|ABCD4|SCP2|AMACR|GCDH|ABCD3|ABCD1|DECR1|HADH|ECHDC1|CPT1B|ACADVL|HADHA|ACAA2|PEX2|CPT2|ACADL|SLC25A17|ACADM|ACADS|ACOXL|ETFB|PPARD|HADHB|ABCD2|ACOX1|CROT|EHHADH|ACAA1|DECR2|ECHS1|SLC27A2|ETFDH|HSD17B4|HSD17B10|ACOX3|MCAT|ECI1|ADIPOQ|ACAD11|CRAT|ACAD10|ETFA","fatty acid beta-oxidation","51","ENR","FATTY ACID BETA-OXIDATION%GOBP%GO:0006635","1.9585","0.0","FATTY ACID BETA-OXIDATION%GOBP%GO:0006635","false","FATTY ACID BETA-OXIDATION%GOBP%GO:0006635"
"32","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.6955","0.0097","0.623","UHMK1|TGFBR1|HIPK2|STK39|PRKX|ROCK1|MAPK8|TNKS|SRPK2|AURKA|RIPK1|SMG1|MAP3K10|RPS6KB1|PCK1|BRSK1|AKT1|PIKFYVE|PDK3|PRKDC|MAP2K2|CDK2|MORC3|TBK1|LMTK2|HIPK3|TTBK2|IKBKB|GSK3B|TLK2|MAP4K1|ATM|ULK1|NEK6|CDK5R1|PRKCD|TNNI3K|STK4","peptidyl-serine phosphorylation","38","ENR","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105","1.9875","0.0","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105","false","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105"
"9","2.8239087409443187","2.8239087409443187","2.8239087409443187","0.9985","1","0.642","0.0415","1.0","ACSL3|SLC27A1|NOS2|SLC27A3|SLCO3A1|SLC22A1|FABP5|GOT2|RBP1|CPT1A|SLC27A5|SLC22A7|PLA2G1B|ACSL1|SLC22A11|ABCD4|SLC22A2|SLC25A20|ABCD3|FABP7|ABCD1|RBP7|SLC2A1|APOE|MFSD2A|ACE|SLC22A6|CPT1B|RBP5|SLC22A8|PNPLA8|FABP5P3|DRD2|SLC22A9|ABCC4|SPX|CPT2|SLC25A17|SLC27A6|CRABP2|RBP2|SLC27A4|CRABP1|LYN|BDKRB2|PPARD|ABCD2|PMP2|SLC5A8|FABP6|SLC27A2|FABP12|NMUR2|RPS6KB1|FABP9|FABP3|CD36|FABP1|FABP2|PPARG|FABP4|LEP|SLCO2A1|LYPLA1|DRD3|DRD4","fatty acid transport","66","ENR","FATTY ACID TRANSPORT%GOBP%GO:0015908","1.8287","0.0015","FATTY ACID TRANSPORT%GOBP%GO:0015908","false","FATTY ACID TRANSPORT%GOBP%GO:0015908"
"5","2.853871964321762","2.853871964321762","2.853871964321762","0.9986","1","0.6037","0.0454","1.0","CYP46A1|RBP4|GSTM2|CYP2E1|GSTA1|DHRS9|RDH8|ABHD6|CTHRC1|AWAT1|CYP2C18|RDH16|BCO1|ACOT8|DHRS4|CYP2J2|ABCA4|DAGLA|SCP2|DAGLB|ALOX15|ABCD1|ADH7|RDH11|CYP4F12|HSD17B6|PNPLA8|HSD3B1|CYP2C8|SRD5A2|CYP1A1|PLA2G4A|RETSAT|ALDH8A1|CYP4A22|ADH1B|CYP2D7|ALDH1A3|ELOVL5|ELOVL3|CYP4A11|HSD11B2|PTGS1|ALOX5|MGLL|ACAA1|DHRS4L1|DHRS4L2|RDH10|CYP2A7|ABHD12|CYP2A6|LHB|ADH1C|CYP2A13|GSTP1|EPHX1|ALOX15B|SDR16C5|ADH4|RDH13|ALOX12|CYP4F3|AKR1C3|CYP4F8|CYP2U1|AKR1C1|FAAH2|ELOVL1|FADS1|ALOXE3|CACNA1H|CYP11B2|GRIN1|SDR9C7|FAAH|GPX1|GPX4|FSHB|CYP2C9|CYP3A4|DHRS3|CYP2C19|PLA2G10|CYP2B6|ADH1A|CYP2D6|ALOX12B|CYP11B1|EPHX2|AKR1C4|CYP11A1|CYP4F11|CYP21A2|ADH6|PTGS2|CYP4F2|CYP2S1|CYP1A2|HSD17B1|RDH12|CYP1B1|PLA2G4B|PLA2G4C|LRAT|RPE65|CYP17A1|BCO2|CYP2F1|FADS2|AKR1C2|CYP4Z1|CYP27C1|ELOVL2","olefinic compound metabolic process","114","ENR","OLEFINIC COMPOUND METABOLIC PROCESS%GOBP%GO:0120254","1.8155","0.0014","OLEFINIC COMPOUND METABOLIC PROCESS%GOBP%GO:0120254","false","OLEFINIC COMPOUND METABOLIC PROCESS%GOBP%GO:0120254"
"34","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.5428","0.0358","0.999","HTR7|AANAT|PHLPP1|RORA|NKX2-1|RORC|MTTP|TCF2|HS3ST2|NR1D2|CPT1A|MTNR1A|KMT2A|AHR|ARNT2|NLGN1|ATF5|PPARGC1A|DBP|PROK2|AVP|RPS27A|USP2|UBC|OGT|KDM5A|KCNMA1|ADORA2A|TNFRSF11A|KCND2|NTRK3|GHRH|PROK1|UTS2R|NOCT|DRD1|DRD2|CHRM1|EZH2|CAVIN3|CIPC|NR1C1|BTRC|HEL-S-80P|NR2F6|NPS|PROKR1|SIRT1|CSNK1D|PRKAA1|PER3|CRH|ATF4|JUN|CARTPT|UTS2|OPN4|CLDN4|PTEN|CHRNB2|CRTC1|HCRTR2|HCRTR1|CREM|NR1D1|NPAS2|PER2|PRF1|CRY2|DDX5|ADA|AGRP|CRY1|TPH1|UBE3A|NAMPT|F7|HDAC1|DRD3|PRKAA2|DRD4|RBM4|PRKG2|SIK1|RORB|NOS2|BHLHB2|STAR|MAGED1|BMAL2|NGFR|TPH2|HOMER1|EGR1|MAPK9|GFPT1|ID3|MAPK8|GHRL|NPY2R|HDAC3|ADCY1|TYMS|ZFHX3|KCNH7|NR1H3|MAPK10|CDK4|EP300|MC3R|GSK3B|PPP1CC|KLF10|METTL3|ID4|MYBBP1A|PAX4|NONO|ROCK2|FAS|SIN3A|TH|IL6|RELB|HNRNPD|NFIL3|ID2|SUV39H1|NCOR1|BHLHE41|NTRK1|PER1|MTNR1B|KLF9|RAI1|TOP2A|GNA11|TIMELESS|CCAR2|SLC9A3|SFPQ|C1ORF51|SOX14|PSPC1|MAGEL2|SUV39H2|PRKDC|BTBD9|SETX|SIX3|HEL-S-2|DDC|PROX1|CREB1|CRX|RBM4B|ATOH7|FBXW11|PASD1|HDAC2|OPN3|SKP1|JUND|THRAP3|PPARG|FBXL3|SFTPC|PML|CSNK1E|LEP|DYRK1A|HEBP1","Circadian rhythm genes","172","ENR","CIRCADIAN RHYTHM GENES%WIKIPATHWAYS_20250810%WP3594%HOMO SAPIENS","1.8475","0.0","CIRCADIAN RHYTHM GENES%WIKIPATHWAYS_20250810%WP3594%HOMO SAPIENS","true","CIRCADIAN RHYTHM GENES%WIKIPATHWAYS_20250810%WP3594%HOMO SAPIENS"
"3","2.886056647693163","-2.886056647693163","2.886056647693163","-1.0","1","-0.4945","0.0254","0.697","NDUFC1|NDUFS8|NDUFS6|NDUFS4|NDUFV1|NDUFS1|COX6A1|NDUFV3|UQCC3|NDUFB8|NDUFB6|SDHB|NDUFB5|NDUFB4|MT-CO1|NDUFB3|NDUFA1|NDUFB2|SDHD|MT-ND4L|NDUFB1|UQCRC1|NDUFAF1|COX6A2|SDHA|MT-CYB|COX5A|SDHAF2|NDUFS2|PPARGC1A|NDUFA9|NDUFA7|NDUFA6|NDUFA4|NDUFS5|NDUFB9|NDUFA3|NDUFA2|CYC1|MT-CO3|UQCRFS1P1|COX6B1|HCCS|UQCRQ|COX4I2|COX7B|ETFB|COX8A|ETFDH|UQCRC2|UQCRB|NDUFS3|COX7A2|NDUFS7|NDUFB7|UQCRH|UQCR11|UQCR10|NDUFV2|SDHC|NDUFA8|UQCRHL|MT-ND6|CYCS|NDUFA5|MT-ND4|MT-CO2|MT-ND5|COX4I1|NDUFA12|ETFA|NDUFA10|MT-ND2|COX7C|MT-ND3|MT-ND1|COX5B|UQCRFS1|NDUFAB1|COX6C|SLC25A51|NDUFB10|NDUFC2","respiratory electron transport chain","83","ENR","RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904","-1.9086","0.0","RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904","false","RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904"
"20","2.207608310501746","2.207608310501746","2.207608310501746","0.9938","1","0.7051","0.044","1.0","ZFP36L1|ETV4|SGPP1|ROCK1|NCOA3|FOXC1|PLAAT4|PKP1|IL20|ABCA12|NUMA1|SRSF6|EXTL3|MACROH2A1|MED1|ERRFI1|VDR|CYP27B1|TRIM16|MACROH2A2|SPRR5|NME2|ZBED2|REG3A|HOXA7|REG3G|ZFP36|ROCK2|PRKCH|AQP3","regulation of keratinocyte differentiation","30","ENR","REGULATION OF KERATINOCYTE DIFFERENTIATION%GOBP%GO:0045616","1.8219","0.0062","REGULATION OF KERATINOCYTE DIFFERENTIATION%GOBP%GO:0045616","false","REGULATION OF KERATINOCYTE DIFFERENTIATION%GOBP%GO:0045616"
"4","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.7095","7.0E-4","0.017","UBR4|PLAA|PLIN5|LONP2|DCAF5|KAT2B|BRCA1|NME1|APOA5|MLYCD|SLC45A3|APOC3|APOC2|AKT2|MTLN|CD74|TYSND1|NR1H2|NR1H3|PPARGC1A|WDTC1|IL1B|EIF6|APOC1|ABCD1|KIF12|LPGAT1|MID1IP1|ERLIN2|COP1|EDN2|PGK1|MFSD2A|INS|TRIB3|EDN1|PLA2G3|PIBF1|CEACAM1|TWIST1|ABCB11|BCKDK|ACADVL|ACADL|PTGS2|ANGPTL4|ELOVL5|SIRT1|NCOR1|PPARA|PPARD|ABCD2|PANK2|ERLIN1|UGT1A8|TPK1|GPIHBP1|SIRT2|PDPR|PDK1|PDP1|AKT1|FABP3|PDK3|PDK2|SOX9|PRKAG2|MLXIPL|ADIPOQ|APOA4|IRS1|ETFBKMT|PPARG|CAV1|SLC22A13|SIRT4|IRS2|PDK4|APPL2|KLHL25","regulation of fatty acid metabolic process","80","ENR","REGULATION OF FATTY ACID METABOLIC PROCESS%GOBP%GO:0019217","2.1766","0.0","REGULATION OF FATTY ACID METABOLIC PROCESS%GOBP%GO:0019217","false","REGULATION OF FATTY ACID METABOLIC PROCESS%GOBP%GO:0019217"
"6","2.886056647693163","2.886056647693163","2.886056647693163","1.0","1","0.757","0.0041","0.18","ELOVL7|ACSL3|ACSF3|ACSBG1|PPT2|PPT1|ACSBG2|ELOVL5|ELOVL3|HACD1|DLD|TECR|ACACA|HACD2|PDHB|MLYCD|DLAT|PPCS|SLC27A2|ACLY|ACSL1|ACSL5|ELOVL6|CBR4|GCDH|ACAT1|ACSS1|PDHA2|PDHA1|FASN|PDHX|HSD17B12|ACSS2|HTD2|DIP2A|ELOVL1|ELOVL2|ACSL6|ACSL4","acyl-CoA biosynthetic process","39","ENR","ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616","2.075","0.0","ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616","false","ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616"
