NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	5	9.50696849822998	0.19308954	Yes	
row_1	SREBF2	49	4.0937395095825195	0.2737117	Yes	
row_2	MED1	173	2.484302043914795	0.3166521	Yes	
row_3	DHCR7	205	2.2738611698150635	0.36099404	Yes	
row_4	FASN	233	2.177678108215332	0.4036264	Yes	
row_5	LSS	262	2.0879650115966797	0.44437203	Yes	
row_6	IDI1	307	1.9572927951812744	0.48147112	Yes	
row_7	FDPS	404	1.7732125520706177	0.5116136	Yes	
row_8	ACACA	463	1.6638715267181396	0.541879	Yes	
row_9	MTF1	473	1.6496621370315552	0.57488185	Yes	
row_10	HMGCS1	560	1.535325527191162	0.6008027	Yes	
row_11	CREBBP	702	1.3923102617263794	0.6204172	Yes	
row_12	MVD	709	1.3866556882858276	0.648255	Yes	
row_13	TBL1X	716	1.3828898668289185	0.6760163	Yes	
row_14	SQLE	967	1.1970161199569702	0.6849253	Yes	
row_15	NCOA6	1133	1.0847258567810059	0.6968002	Yes	
row_16	NFYA	1168	1.0654807090759277	0.716375	Yes	
row_17	SC5D	1194	1.0546132326126099	0.7362846	Yes	
row_18	PPARA	1401	0.9485722780227661	0.74285734	Yes	
row_19	CYP51A1	1629	0.8552666306495667	0.74623483	Yes	
row_20	ELOVL6	1700	0.8332021236419678	0.7588609	Yes	
row_21	MVK	1782	0.8027923703193665	0.7701888	Yes	
row_22	GGPS1	2209	0.6801776885986328	0.757713	No	
row_23	CHD9	2724	0.561183512210846	0.73738104	No	
row_24	TBL1XR1	2861	0.5322772264480591	0.7398088	No	
row_25	FDFT1	3287	0.45500648021698	0.72281414	No	
row_26	NFYB	3832	0.37452417612075806	0.69683206	No	
row_27	TGS1	4546	0.28469547629356384	0.658584	No	
row_28	NCOA1	5069	0.2306687980890274	0.6310343	No	
row_29	TM7SF2	6459	0.11102161556482315	0.5474991	No	
row_30	SP1	7220	0.06040297821164131	0.50178534	No	
row_31	HELZ2	9361	-0.07066456228494644	0.3710425	No	
row_32	NCOA2	10649	-0.16163089871406555	0.29483703	No	
row_33	ACACB	11349	-0.2174055427312851	0.25608486	No	
row_34	NFYC	11825	-0.26204782724380493	0.23207654	No	
row_35	CARM1	12244	-0.3045273721218109	0.21245308	No	
row_36	GPAM	12435	-0.3290332555770874	0.2074109	No	
row_37	PMVK	12514	-0.3389465808868408	0.20948823	No	
row_38	RXRA	12952	-0.39183101058006287	0.19046721	No	
row_39	SMARCD3	14124	-0.5839916467666626	0.13001864	No	
