NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYCS	912	1.2349885702133179	-0.028398955	No	
row_1	SDHD	1286	0.9995005130767822	-0.028783001	No	
row_2	MT-ND4L	3089	0.4866723120212555	-0.1292721	No	
row_3	MT-CO1	3633	0.4022276997566223	-0.15374693	No	
row_4	MT-CO2	3738	0.38864922523498535	-0.15135597	No	
row_5	MT-CYB	3822	0.3760104775428772	-0.1479522	No	
row_6	NDUFA5	3833	0.37444835901260376	-0.14006518	No	
row_7	MT-ND2	4165	0.3299056887626648	-0.15306002	No	
row_8	MT-ND5	4604	0.27785181999206543	-0.17386065	No	
row_9	SDHC	4759	0.263069748878479	-0.17741737	No	
row_10	MT-ND6	4794	0.25836628675460815	-0.1736529	No	
row_11	NDUFC2	4859	0.25171375274658203	-0.17189656	No	
row_12	MT-ND4	5153	0.22208230197429657	-0.18498851	No	
row_13	MT-ND1	5386	0.19833603501319885	-0.19484396	No	
row_14	UQCRHL	5675	0.17194007337093353	-0.20876545	No	
row_15	MT-ND3	6189	0.1300041377544403	-0.23756714	No	
row_16	NDUFAF1	6952	0.07950533926486969	-0.28292915	No	
row_17	NDUFA12	7351	0.05143963545560837	-0.30639696	No	
row_18	UQCRB	7682	0.030921971425414085	-0.32612166	No	
row_19	NDUFS1	8117	0.0052895983681082726	-0.35286623	No	
row_20	NDUFV2	8424	-0.010523185133934021	-0.3715687	No	
row_21	NDUFA6	10446	-0.1456620842218399	-0.4933604	No	
row_22	NDUFB8	10534	-0.15292681753635406	-0.49527183	No	
row_23	MT-CO3	10647	-0.16144399344921112	-0.4985373	No	
row_24	COX6C	11059	-0.19466683268547058	-0.5195563	No	
row_25	NDUFS4	11453	-0.22738035023212433	-0.53871787	No	
row_26	SDHB	11876	-0.2672373652458191	-0.5587692	No	
row_27	NDUFV3	11952	-0.27351123094558716	-0.55719864	No	
row_28	NDUFA9	12072	-0.2866309881210327	-0.5580536	No	
row_29	NDUFA1	12467	-0.33255553245544434	-0.574888	Yes	
row_30	NDUFB6	12468	-0.33272242546081543	-0.5673298	Yes	
row_31	UQCRFS1	12533	-0.34095463156700134	-0.5635463	Yes	
row_32	NDUFB2	12692	-0.3603968322277069	-0.5651397	Yes	
row_33	UQCRQ	12877	-0.38256633281707764	-0.56783897	Yes	
row_34	COX7A2	12892	-0.38453423976898193	-0.55997044	Yes	
row_35	UQCRH	13123	-0.4154001772403717	-0.56477123	Yes	
row_36	NDUFS5	13138	-0.4168161451816559	-0.5561694	Yes	
row_37	NDUFA8	13202	-0.4266916513442993	-0.55037636	Yes	
row_38	COX7C	13412	-0.4588407874107361	-0.5528904	Yes	
row_39	COX7B	13439	-0.4626926779747009	-0.54398924	Yes	
row_40	NDUFA4	13540	-0.4788598120212555	-0.53930146	Yes	
row_41	COX6B1	13594	-0.48548540472984314	-0.5315538	Yes	
row_42	NDUFB5	13641	-0.4929925799369812	-0.52320236	Yes	
row_43	NDUFB3	13774	-0.5178016424179077	-0.51961076	Yes	
row_44	UQCRC1	13942	-0.5476832985877991	-0.51750684	Yes	
row_45	NDUFA10	14043	-0.5660066604614258	-0.5108394	Yes	
row_46	UQCC3	14082	-0.5750366449356079	-0.50012904	Yes	
row_47	UQCR10	14188	-0.5969525575637817	-0.4930681	Yes	
row_48	UQCRC2	14198	-0.5990803837776184	-0.4800164	Yes	
row_49	NDUFS2	14224	-0.6048189997673035	-0.4678248	Yes	
row_50	NDUFA3	14283	-0.6184234023094177	-0.45736682	Yes	
row_51	NDUFS6	14319	-0.6245778799057007	-0.44534534	Yes	
row_52	COX6A2	14426	-0.64548259973526	-0.4372439	Yes	
row_53	NDUFS8	14525	-0.6686894297599792	-0.4281201	Yes	
row_54	NDUFB4	14592	-0.6866947412490845	-0.4166065	Yes	
row_55	NDUFV1	14662	-0.7039334774017334	-0.40488696	Yes	
row_56	NDUFS7	14779	-0.739261269569397	-0.39527425	Yes	
row_57	NDUFB1	14867	-0.7628816962242126	-0.38332987	Yes	
row_58	COX8A	14906	-0.778810977935791	-0.36799052	Yes	
row_59	COX5A	15180	-0.871921718120575	-0.36508262	Yes	
row_60	SDHAF2	15226	-0.895648717880249	-0.34752247	Yes	
row_61	UQCRFS1P1	15235	-0.9010989665985107	-0.3275482	Yes	
row_62	COX6A1	15277	-0.9186834096908569	-0.30921718	Yes	
row_63	COX5B	15486	-1.0249725580215454	-0.29880905	Yes	
row_64	NDUFAB1	15596	-1.0977438688278198	-0.2806197	Yes	
row_65	NDUFB7	15624	-1.1173350811004639	-0.2569095	Yes	
row_66	UQCR11	15653	-1.1339805126190186	-0.23288305	Yes	
row_67	NDUFB9	15778	-1.240483283996582	-0.21237972	Yes	
row_68	CYC1	15855	-1.32638680934906	-0.18695378	Yes	
row_69	NDUFC1	15915	-1.3990554809570312	-0.15882477	Yes	
row_70	SDHA	15924	-1.413384199142456	-0.12721337	Yes	
row_71	COX4I1	15931	-1.4225761890411377	-0.09526935	Yes	
row_72	NDUFA2	15950	-1.4472177028656006	-0.06350838	Yes	
row_73	NDUFS3	15974	-1.4796961545944214	-0.031319123	Yes	
row_74	NDUFB10	16155	-2.070848226547241	0.0045804624	Yes	
