NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-CO1	3633	0.4022276997566223	-0.20247081	No	
row_1	MT-CO2	3738	0.38864922523498535	-0.18766877	No	
row_2	COQ10B	4401	0.30131667852401733	-0.2121087	No	
row_3	COX19	5000	0.23768813908100128	-0.23607007	No	
row_4	HIGD1A	5975	0.14635030925273895	-0.28824857	No	
row_5	PET117	6043	0.14189600944519043	-0.28463772	No	
row_6	COX20	6549	0.10552539676427841	-0.3100721	No	
row_7	TIMM21	7190	0.06281892210245132	-0.346179	No	
row_8	COX16	7521	0.04023899883031845	-0.364368	No	
row_9	TMEM177	7635	0.033466752618551254	-0.36952102	No	
row_10	COQ10A	8367	-0.006993697956204414	-0.41429874	No	
row_11	COX17	8667	-0.0258354302495718	-0.43135932	No	
row_12	SCO1	9036	-0.04884984716773033	-0.45142555	No	
row_13	CMC1	10366	-0.13948333263397217	-0.5259103	No	
row_14	SURF1	10400	-0.14236631989479065	-0.5201733	No	
row_15	MT-CO3	10647	-0.16144399344921112	-0.5265531	No	
row_16	COX6C	11059	-0.19466683268547058	-0.5413117	No	
row_17	COX7A2L	11259	-0.2103668451309204	-0.5421158	No	
row_18	PET100	11357	-0.21841439604759216	-0.53617907	No	
row_19	COX15	11798	-0.2599967122077942	-0.5491611	No	
row_20	SMIM20	12752	-0.36776646971702576	-0.5879491	Yes	
row_21	COA5	12839	-0.37808623909950256	-0.572612	Yes	
row_22	COX7A2	12892	-0.38453423976898193	-0.55482227	Yes	
row_23	HIGD2A	12935	-0.3898300528526306	-0.5361255	Yes	
row_24	COX14	13003	-0.3969371020793915	-0.518585	Yes	
row_25	COA1	13104	-0.4111688435077667	-0.50230587	Yes	
row_26	COX11	13280	-0.4385824501514435	-0.48916286	Yes	
row_27	COX7C	13412	-0.4588407874107361	-0.47219518	Yes	
row_28	COX7B	13439	-0.4626926779747009	-0.4485304	Yes	
row_29	NDUFA4	13540	-0.4788598120212555	-0.4285542	Yes	
row_30	COX6B1	13594	-0.48548540472984314	-0.40531257	Yes	
row_31	RAB5IF	14145	-0.5874897241592407	-0.40720338	Yes	
row_32	TACO1	14401	-0.6419550776481628	-0.38789496	Yes	
row_33	COX6A2	14426	-0.64548259973526	-0.35412315	Yes	
row_34	TMEM223	14677	-0.709043025970459	-0.33084166	Yes	
row_35	COX8A	14906	-0.778810977935791	-0.30239055	Yes	
row_36	COA3	14939	-0.7880381345748901	-0.26132697	Yes	
row_37	COX7A1	14957	-0.7939625978469849	-0.21901315	Yes	
row_38	COX5A	15180	-0.871921718120575	-0.1851059	Yes	
row_39	COX6A1	15277	-0.9186834096908569	-0.14086065	Yes	
row_40	COX5B	15486	-1.0249725580215454	-0.097729295	Yes	
row_41	COX18	15733	-1.2049229145050049	-0.047117118	Yes	
row_42	COX4I1	15931	-1.4225761890411377	0.018409802	Yes	
