NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCNA	1529	0.8918545842170715	-0.048942845	No	
row_1	MCM6	2910	0.5221035480499268	-0.10753062	No	
row_2	POLD3	3366	0.44398319721221924	-0.11299382	No	
row_3	FEN1	3867	0.36911410093307495	-0.1250507	No	
row_4	RFC5	5553	0.1823783814907074	-0.21978135	No	
row_5	RFC3	6529	0.10737594217061996	-0.27450177	No	
row_6	GINS4	6837	0.08627528697252274	-0.28905788	No	
row_7	RFC1	7124	0.06830747425556183	-0.30323324	No	
row_8	GINS2	8005	0.011488601565361023	-0.35697544	No	
row_9	CDC45	8718	-0.02938731014728546	-0.39943382	No	
row_10	MCM8	8917	-0.04198230430483818	-0.40951803	No	
row_11	DNA2	10272	-0.13275094330310822	-0.4863432	No	
row_12	GINS1	11168	-0.20390449464321136	-0.53120536	No	
row_13	POLA1	11838	-0.26344743371009827	-0.5590807	No	
row_14	RPA3	13229	-0.4303460717201233	-0.6229621	Yes	
row_15	MCM7	13297	-0.44103044271469116	-0.6046222	Yes	
row_16	RPA1	13369	-0.4520008862018585	-0.58597016	Yes	
row_17	RFC4	13503	-0.4729243814945221	-0.57007945	Yes	
row_18	POLD1	13530	-0.4777042269706726	-0.5473394	Yes	
row_19	PRIM2	13591	-0.4849877953529358	-0.52632713	Yes	
row_20	MCM3	14548	-0.6763378381729126	-0.5508786	Yes	
row_21	MCM5	14683	-0.7099868059158325	-0.52296823	Yes	
row_22	MCM2	14763	-0.7343453168869019	-0.49042097	Yes	
row_23	POLD2	14835	-0.7528002858161926	-0.45643932	Yes	
row_24	PRIM1	15112	-0.8480321168899536	-0.43026024	Yes	
row_25	GINS3	15118	-0.8507038950920105	-0.38721454	Yes	
row_26	MCM4	15384	-0.9654347896575928	-0.3543732	Yes	
row_27	POLA2	15387	-0.9678900241851807	-0.30517015	Yes	
row_28	LIG1	15959	-1.4646433591842651	-0.2657789	Yes	
row_29	RPA2	16069	-1.681990623474121	-0.18678893	Yes	
row_30	RFC2	16125	-1.8732924461364746	-0.09471593	Yes	
row_31	POLD4	16142	-1.983301043510437	0.00537114	Yes	
