NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A4	1086	1.111980676651001	-0.04219326	No	
row_1	SDHD	1286	0.9995005130767822	-0.032009844	No	
row_2	SLC25A27	1662	0.84466952085495	-0.036207367	No	
row_3	NDUFA5	3833	0.37444835901260376	-0.16210926	No	
row_4	SDHC	4759	0.263069748878479	-0.21344797	No	
row_5	NDUFC2	4859	0.25171375274658203	-0.2139095	No	
row_6	ATP5MG	6937	0.08016981929540634	-0.34067956	No	
row_7	NDUFA12	7351	0.05143963545560837	-0.3650879	No	
row_8	UQCRB	7682	0.030921971425414085	-0.3848201	No	
row_9	UCP2	7688	0.030530037358403206	-0.3844423	No	
row_10	NDUFS1	8117	0.0052895983681082726	-0.4108182	No	
row_11	NDUFV2	8424	-0.010523185133934021	-0.42952394	No	
row_12	COX17	8667	-0.0258354302495718	-0.44392312	No	
row_13	SCO1	9036	-0.04884984716773033	-0.46560407	No	
row_14	ATP5PO	9566	-0.08310981094837189	-0.49648026	No	
row_15	SURF1	10400	-0.14236631989479065	-0.5448413	No	
row_16	NDUFA6	10446	-0.1456620842218399	-0.5443476	No	
row_17	NDUFB8	10534	-0.15292681753635406	-0.54629034	No	
row_18	SLC25A6	11150	-0.20190681517124176	-0.57981575	No	
row_19	COX7A2L	11259	-0.2103668451309204	-0.5817653	No	
row_20	NDUFS4	11453	-0.22738035023212433	-0.5885936	No	
row_21	SLC25A14	11732	-0.25258350372314453	-0.60011643	No	
row_22	SDHB	11876	-0.2672373652458191	-0.60295224	No	
row_23	NDUFV3	11952	-0.27351123094558716	-0.60143733	No	
row_24	NDUFA9	12072	-0.2866309881210327	-0.60235083	No	
row_25	NDUFB6	12468	-0.33272242546081543	-0.6193122	Yes	
row_26	UQCRFS1	12533	-0.34095463156700134	-0.61559796	Yes	
row_27	NDUFB2	12692	-0.3603968322277069	-0.617265	Yes	
row_28	ATP5ME	12743	-0.36724570393562317	-0.6120922	Yes	
row_29	ATP5PB	12768	-0.3690096139907837	-0.60527015	Yes	
row_30	UQCRQ	12877	-0.38256633281707764	-0.6033429	Yes	
row_31	COX7A2	12892	-0.38453423976898193	-0.5955523	Yes	
row_32	UQCRH	13123	-0.4154001772403717	-0.6004381	Yes	
row_33	NDUFS5	13138	-0.4168161451816559	-0.59192073	Yes	
row_34	ATP5MF	13236	-0.4317689538002014	-0.5882048	Yes	
row_35	COX11	13280	-0.4385824501514435	-0.5809926	Yes	
row_36	NDUFA13	13361	-0.4498157501220703	-0.57581794	Yes	
row_37	COX7C	13412	-0.4588407874107361	-0.568583	Yes	
row_38	COX7B	13439	-0.4626926779747009	-0.55977565	Yes	
row_39	NDUFA4	13540	-0.4788598120212555	-0.5551852	Yes	
row_40	COX6B1	13594	-0.48548540472984314	-0.54753613	Yes	
row_41	NDUFB5	13641	-0.4929925799369812	-0.53928465	Yes	
row_42	NDUFB3	13774	-0.5178016424179077	-0.53579843	Yes	
row_43	UCP3	13799	-0.5213109850883484	-0.52554756	Yes	
row_44	ATP5F1D	13839	-0.5295959115028381	-0.5160387	Yes	
row_45	UQCRC1	13942	-0.5476832985877991	-0.51002264	Yes	
row_46	DMAC2L	13970	-0.5533497929573059	-0.49923617	Yes	
row_47	NDUFA10	14043	-0.5660066604614258	-0.4909504	Yes	
row_48	ATP5F1E	14069	-0.5711889863014221	-0.47963852	Yes	
row_49	ATP5MC3	14128	-0.5853717923164368	-0.47005013	Yes	
row_50	UQCR10	14188	-0.5969525575637817	-0.46026292	Yes	
row_51	UQCRC2	14198	-0.5990803837776184	-0.44733262	Yes	
row_52	NDUFA11	14248	-0.6095991134643555	-0.43664166	Yes	
row_53	NDUFA3	14283	-0.6184234023094177	-0.42482346	Yes	
row_54	NDUFS6	14319	-0.6245778799057007	-0.41292864	Yes	
row_55	COX6A2	14426	-0.64548259973526	-0.40495834	Yes	
row_56	NDUFS8	14525	-0.6686894297599792	-0.39597034	Yes	
row_57	NDUFB4	14592	-0.6866947412490845	-0.38459608	Yes	
row_58	NDUFB1	14867	-0.7628816962242126	-0.3843826	Yes	
row_59	COX8A	14906	-0.778810977935791	-0.36920112	Yes	
row_60	COX7A1	14957	-0.7939625978469849	-0.35442138	Yes	
row_61	SLC25A5	15119	-0.8509488701820374	-0.34523004	Yes	
row_62	COX5A	15180	-0.871921718120575	-0.3293142	Yes	
row_63	COX6A1	15277	-0.9186834096908569	-0.31457415	Yes	
row_64	ATP5MC2	15323	-0.9362342357635498	-0.29628184	Yes	
row_65	NDUFAB1	15596	-1.0977438688278198	-0.28840563	Yes	
row_66	NDUFB7	15624	-1.1173350811004639	-0.2649218	Yes	
row_67	UQCR11	15653	-1.1339805126190186	-0.24112517	Yes	
row_68	NDUFB9	15778	-1.240483283996582	-0.22087355	Yes	
row_69	NDUFC1	15915	-1.3990554809570312	-0.19779477	Yes	
row_70	SDHA	15924	-1.413384199142456	-0.16646965	Yes	
row_71	COX4I1	15931	-1.4225761890411377	-0.13481377	Yes	
row_72	NDUFA2	15950	-1.4472177028656006	-0.10334598	Yes	
row_73	NDUFS3	15974	-1.4796961545944214	-0.07145651	Yes	
row_74	ATP5IF1	16104	-1.798731803894043	-0.038946237	Yes	
row_75	NDUFB10	16155	-2.070848226547241	0.0045807823	Yes	
