NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANGPTL4	0	19.718704223632812	0.17681962	Yes	
row_1	PDK4	2	11.674763679504395	0.28144646	Yes	
row_2	SCD	5	9.50696849822998	0.36657247	Yes	
row_3	PLIN2	6	9.35159969329834	0.45042923	Yes	
row_4	LPIN1	22	5.735593318939209	0.50093144	Yes	
row_5	PLIN1	55	4.00396728515625	0.5348527	Yes	
row_6	ELOVL5	89	3.1468546390533447	0.5610261	Yes	
row_7	MED1	173	2.484302043914795	0.5781603	Yes	
row_8	MED10	274	2.0453991889953613	0.5903054	Yes	
row_9	MED13	438	1.6989177465438843	0.59544	Yes	
row_10	PLIN4	450	1.678904414176941	0.60981333	Yes	
row_11	NCOR1	453	1.6729393005371094	0.62469083	Yes	
row_12	ACSL1	468	1.6531723737716675	0.6386475	Yes	
row_13	EP300	632	1.4611937999725342	0.64165044	Yes	
row_14	CREBBP	702	1.3923102617263794	0.6498601	Yes	
row_15	TBL1X	716	1.3828898668289185	0.6614551	Yes	
row_16	PEX11A	774	1.3423399925231934	0.66996014	Yes	
row_17	ABL1	942	1.2177072763442993	0.67053187	Yes	
row_18	CCNC	983	1.1859261989593506	0.6786877	Yes	
row_19	MED7	1065	1.1296589374542236	0.68379855	Yes	
row_20	NCOA6	1133	1.0847258567810059	0.68937397	Yes	
row_21	NCOA3	1667	0.8430709838867188	0.6639083	No	
row_22	KMT2C	1832	0.7880168557167053	0.6608128	No	
row_23	GPS2	1870	0.7775455117225647	0.66549253	No	
row_24	MED4	1967	0.7458325028419495	0.66623217	No	
row_25	KMT2D	2086	0.709598183631897	0.66528374	No	
row_26	MED30	2328	0.6499382257461548	0.6561791	No	
row_27	RBBP5	2396	0.6346918344497681	0.65771896	No	
row_28	SIRT1	2401	0.6331847310066223	0.66314894	No	
row_29	RB1	2466	0.6177387833595276	0.66472274	No	
row_30	PHLDA1	2643	0.5768541097640991	0.65899014	No	
row_31	CD36	2683	0.5693233609199524	0.66167885	No	
row_32	TBL1XR1	2861	0.5322772264480591	0.6554846	No	
row_33	KDM6A	2972	0.5098118185997009	0.6532403	No	
row_34	PPARGC1A	3084	0.4875243604183197	0.6507343	No	
row_35	MED31	3184	0.4695846140384674	0.64881086	No	
row_36	H2BC26	3472	0.4274047017097473	0.63486046	No	
row_37	PAXIP1	3780	0.3826380968093872	0.6192694	No	
row_38	DGAT2	3952	0.3570362627506256	0.6118755	No	
row_39	LIPE	4060	0.34302130341529846	0.6083215	No	
row_40	MED14	4185	0.32727330923080444	0.60357296	No	
row_41	NCOA1	5069	0.2306687980890274	0.5509292	No	
row_42	H2BC3	5171	0.21990656852722168	0.54664296	No	
row_43	DPY30	5354	0.20056115090847015	0.5371644	No	
row_44	AGPAT2	5407	0.19633124768733978	0.53570294	No	
row_45	NCOR2	5672	0.1722969263792038	0.52089006	No	
row_46	PNPLA2	6510	0.10809046030044556	0.46999735	No	
row_47	H2AC14	6546	0.10597049444913864	0.46877894	No	
row_48	ASH2L	7004	0.07549929618835449	0.44113943	No	
row_49	H2BC14	7054	0.07202813774347305	0.4387492	No	
row_50	MGLL	7101	0.06951767206192017	0.43652233	No	
row_51	MED27	7313	0.05364068225026131	0.42392942	No	
row_52	H2BC13	7339	0.051961008459329605	0.42284632	No	
row_53	CEBPA	7594	0.03565375879406929	0.40742776	No	
row_54	MED17	7598	0.035501934587955475	0.4075602	No	
row_55	H2BC17	7881	0.018244195729494095	0.39025062	No	
row_56	MED12	8252	-0.0012810754124075174	0.36733627	No	
row_57	H2BC11	8519	-0.016689816489815712	0.35100412	No	
row_58	ACSS3	8572	-0.01957300677895546	0.3479576	No	
row_59	AJUBA	8803	-0.034772347658872604	0.33401823	No	
row_60	H3-3B	8954	-0.04395066201686859	0.3251181	No	
row_61	H2BC21	9070	-0.05082201957702637	0.31844822	No	
row_62	MED6	9664	-0.08967580646276474	0.28250906	No	
row_63	H2AJ	9948	-0.1092119812965393	0.2659532	No	
row_64	MED24	9992	-0.1130642294883728	0.2643027	No	
row_65	MED16	10076	-0.1185566782951355	0.260223	No	
row_66	H2AX	10187	-0.12674970924854279	0.25454378	No	
row_67	H2BC12	10238	-0.13028573989868164	0.252614	No	
row_68	MED23	10486	-0.14927931129932404	0.23864806	No	
row_69	NCOA2	10649	-0.16163089871406555	0.23005961	No	
row_70	H4C9	10676	-0.16373316943645477	0.22991683	No	
