NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL3	3	10.824214935302734	0.24730805	Yes	
row_1	CPT1A	13	7.591501235961914	0.4203307	Yes	
row_2	HADHB	23	5.385313510894775	0.5429094	Yes	
row_3	ACADVL	34	4.415666580200195	0.6432556	Yes	
row_4	SLC25A20	39	4.303447723388672	0.74140614	Yes	
row_5	ACSS2	160	2.5594348907470703	0.79252374	Yes	
row_6	CHKB	270	2.0585501194000244	0.8328673	Yes	
row_7	ACSL1	468	1.6531723737716675	0.858513	Yes	
row_8	ACSL5	805	1.3116298913955688	0.8677739	Yes	
row_9	ACADS	2625	0.5803346633911133	0.7688215	No	
row_10	DLD	5207	0.21678923070430756	0.6145458	No	
row_11	GPD2	5453	0.19178403913974762	0.60381585	No	
row_12	ACADM	6194	0.12979118525981903	0.56112987	No	
row_13	PNPLA2	6510	0.10809046030044556	0.54416764	No	
row_14	ACAT1	8688	-0.02738473191857338	0.4104857	No	
row_15	DECR1	8731	-0.0305908415466547	0.408594	No	
row_16	CRAT	9360	-0.0704968199133873	0.371462	No	
row_17	CPT2	11709	-0.2501468062400818	0.23232377	No	
row_18	LIPC	12886	-0.38387739658355713	0.16854875	No	
row_19	GCDH	13906	-0.54045569896698	0.11803983	No	
row_20	ECHS1	15602	-1.1027436256408691	0.038682275	No	
