NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL3	3	10.824214935302734	0.1754189	Yes	
row_1	LPCAT3	11	8.055313110351562	0.30567002	Yes	
row_2	BACH1	127	2.775015354156494	0.3435854	Yes	
row_3	AKR1C1	129	2.7736432552337646	0.38852122	Yes	
row_4	POR	206	2.269709587097168	0.42064822	Yes	
row_5	GCLC	221	2.208369255065918	0.4556103	Yes	
row_6	SLC3A2	309	1.948117971420288	0.4818405	Yes	
row_7	SLC39A14	312	1.940455675125122	0.5131975	Yes	
row_8	SLC39A8	334	1.9096375703811646	0.5428807	Yes	
row_9	SLC7A11	418	1.7344228029251099	0.56589115	Yes	
row_10	AIFM2	419	1.7343618869781494	0.5940282	Yes	
row_11	SLC38A1	420	1.7310335636138916	0.62211126	Yes	
row_12	SLC11A2	443	1.6941978931427002	0.6482376	Yes	
row_13	ACSL1	468	1.6531723737716675	0.67357475	Yes	
row_14	GCLM	649	1.4412150382995605	0.68583596	Yes	
row_15	IREB2	744	1.3643075227737427	0.7021624	Yes	
row_16	ACSL5	805	1.3116298913955688	0.7197346	Yes	
row_17	HMGCR	920	1.2271790504455566	0.7326008	Yes	
row_18	PRNP	926	1.2239196300506592	0.7521479	Yes	
row_19	HMOX1	1088	1.1103293895721436	0.7602148	Yes	
row_20	SLC40A1	1471	0.9193660616874695	0.75153077	No	
row_21	PCBP1	2428	0.6264178156852722	0.70263356	No	
row_22	ATG5	3018	0.5014945864677429	0.67438227	No	
row_23	FDFT1	3287	0.45500648021698	0.66520745	No	
row_24	DPP4	4377	0.30548325181007385	0.60288715	No	
row_25	AKR1C2	4392	0.3034484386444092	0.6069452	No	
row_26	COQ2	5519	0.18581680953502655	0.54039776	No	
row_27	CTH	6160	0.13230516016483307	0.5030063	No	
row_28	CHMP5	6912	0.08268346637487411	0.4579524	No	
row_29	FTL	7599	0.03537168353796005	0.41614658	No	
row_30	CISD1	7949	0.014904939569532871	0.39482787	No	
row_31	TFRC	9598	-0.08542738854885101	0.29440367	No	
row_32	FTH1	9970	-0.11123065650463104	0.27328858	No	
row_33	CBS	10147	-0.12383142113685608	0.26442462	No	
row_34	VDAC3	10914	-0.18233881890773773	0.22006081	No	
row_35	PHKG2	11791	-0.25956228375434875	0.17015426	No	
row_36	SAT2	12651	-0.3554910719394684	0.12285421	No	
row_37	CHMP6	12652	-0.3555639386177063	0.12862262	No	
row_38	MAP1LC3A	13663	-0.4955632984638214	0.07426653	No	
row_39	NOX4	14213	-0.6027736663818359	0.05012939	No	
row_40	MAP1LC3C	14827	-0.7506890296936035	0.024438128	No	
row_41	GPX4	15620	-1.1150320768356323	-0.0064005516	No	
row_42	STEAP3	16203	-2.709778070449829	0.0016061483	No	
