NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL3	3	10.824214935302734	0.11715525	Yes	
row_1	FADS1	4	10.494850158691406	0.23092555	Yes	
row_2	SCD	5	9.50696849822998	0.33398664	Yes	
row_3	DNAJB9	8	8.763114929199219	0.42886022	Yes	
row_4	INSIG1	9	8.75098991394043	0.52372605	Yes	
row_5	HERC3	78	3.3296875953674316	0.5556155	Yes	
row_6	ELOVL5	89	3.1468546390533447	0.5891106	Yes	
row_7	SRP19	101	2.9765591621398926	0.6206978	Yes	
row_8	SPCS3	162	2.548776388168335	0.64461654	Yes	
row_9	DBI	248	2.1313040256500244	0.6624632	Yes	
row_10	IDI1	307	1.9572927951812744	0.6800936	Yes	
row_11	HMGCS1	560	1.535325527191162	0.6811492	Yes	
row_12	ARID5B	599	1.4939148426055908	0.69499344	Yes	
row_13	UBE2J1	863	1.269330382347107	0.69248503	Yes	
row_14	HMGCR	920	1.2271790504455566	0.70232433	Yes	
row_15	TPD52	928	1.2225286960601807	0.7151442	Yes	
row_16	APPBP2	1084	1.1135978698730469	0.71762824	Yes	
row_17	NGLY1	1213	1.0429048538208008	0.7210161	Yes	
row_18	LMAN1	1405	0.9474701285362244	0.7194723	No	
row_19	SGK1	1545	0.8863368034362793	0.7204824	No	
row_20	MAK	1863	0.7795463800430298	0.7093241	No	
row_21	DHCR24	2104	0.7060830593109131	0.70213246	No	
row_22	PIAS1	2285	0.6601030826568604	0.6981539	No	
row_23	H1-0	2479	0.6154031157493591	0.6928866	No	
row_24	NKX3-1	2930	0.5187920928001404	0.67067444	No	
row_25	PGM3	2957	0.5137107968330383	0.67463505	No	
row_26	ACTN1	3117	0.4812265634536743	0.67001635	No	
row_27	CDK6	3654	0.3996298909187317	0.64119256	No	
row_28	KRT19	3697	0.3937998116016388	0.6428635	No	
row_29	MAF	3746	0.38743746280670166	0.6440944	No	
row_30	SORD	3970	0.3547574579715729	0.6341458	No	
row_31	RPS6KA3	4011	0.34932857751846313	0.6354584	No	
row_32	MYL12A	4104	0.3376294672489166	0.63342756	No	
row_33	B4GALT1	4347	0.3093219995498657	0.6218111	No	
row_34	SLC26A2	5086	0.22863321006298065	0.5786382	No	
row_35	ZMIZ1	5257	0.210614413022995	0.5704055	No	
row_36	FKBP5	5263	0.2098020315170288	0.5723706	No	
row_37	PTPN21	5427	0.19445574283599854	0.5643957	No	
row_38	VAPA	5622	0.17536750435829163	0.5542963	No	
row_39	ALDH1A3	5939	0.14978089928627014	0.53637284	No	
row_40	GNAI3	6384	0.11721363663673401	0.51017845	No	
row_41	INPP4B	6400	0.11610452085733414	0.5105092	No	
row_42	CDC14B	7501	0.04138277843594551	0.44291377	No	
row_43	STK39	7586	0.03605121001601219	0.4381085	No	
row_44	ITGAV	7822	0.02217162400484085	0.42381218	No	
row_45	B2M	8312	-0.0041336845606565475	0.39360833	No	
row_46	PLPP1	8898	-0.04063541442155838	0.3578618	No	
row_47	PTK2B	9372	-0.07145003229379654	0.32937738	No	
row_48	CENPN	9648	-0.08884395658969879	0.31332952	No	
row_49	HOMER2	11231	-0.20846575498580933	0.21772969	No	
row_50	XRCC5	11470	-0.22892910242080688	0.20548916	No	
row_51	ADRM1	11832	-0.263041615486145	0.18600987	No	
row_52	PA2G4	12284	-0.30945730209350586	0.16146651	No	
row_53	CCND1	12357	-0.3185301721096039	0.16046578	No	
row_54	AKAP12	13187	-0.4252733588218689	0.11379552	No	
row_55	RAB4A	13584	-0.4835938513278961	0.0945421	No	
row_56	SMS	13883	-0.5376651883125305	0.081936955	No	
row_57	ABHD2	14126	-0.5849692821502686	0.07330868	No	
row_58	ANKH	14762	-0.7342841625213623	0.04198878	No	
row_59	GPD1L	14946	-0.7906601428985596	0.039239943	No	
row_60	CAMKK2	15010	-0.8098172545433044	0.04412177	No	
row_61	CCND3	15159	-0.866155743598938	0.044356383	No	
row_62	UBE2I	15422	-0.9836277365684509	0.03881263	No	
row_63	SELENOP	15478	-1.01886785030365	0.04645555	No	
