NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	5	9.50696849822998	0.13056944	Yes	
row_1	STARD4	12	7.784876346588135	0.2373697	Yes	
row_2	ATF3	15	6.495048999786377	0.32666075	Yes	
row_3	LDLR	19	6.042723178863525	0.409663	Yes	
row_4	FADS2	36	4.378042221069336	0.46894443	Yes	
row_5	SREBF2	49	4.0937395095825195	0.5245593	Yes	
row_6	ACSS2	160	2.5594348907470703	0.5529926	Yes	
row_7	DHCR7	205	2.2738611698150635	0.58157533	Yes	
row_8	FASN	233	2.177678108215332	0.6098851	Yes	
row_9	IDI1	307	1.9572927951812744	0.63231665	Yes	
row_10	FDPS	404	1.7732125520706177	0.65079194	Yes	
row_11	HMGCS1	560	1.535325527191162	0.6623443	Yes	
row_12	MVD	709	1.3866556882858276	0.67228276	Yes	
row_13	HSD17B7	781	1.333817481994629	0.6862548	Yes	
row_14	HMGCR	920	1.2271790504455566	0.69461614	Yes	
row_15	SQLE	967	1.1970161199569702	0.70825076	Yes	
row_16	SC5D	1194	1.0546132326126099	0.7087953	Yes	
row_17	ATXN2	1196	1.052221655845642	0.723219	Yes	
row_18	TRIB3	1335	0.9789986610412598	0.7281637	Yes	
row_19	CXCL16	1592	0.8671711683273315	0.72427285	Yes	
row_20	CYP51A1	1629	0.8552666306495667	0.73382103	Yes	
row_21	MVK	1782	0.8027923703193665	0.73547435	Yes	
row_22	CHKA	1925	0.7607573866844177	0.73716736	Yes	
row_23	PNRC1	2358	0.6421823501586914	0.7192968	No	
row_24	PDK3	2462	0.6180365681648254	0.72143644	No	
row_25	CPEB2	3079	0.4879413843154907	0.69006556	No	
row_26	FDFT1	3287	0.45500648021698	0.68353033	No	
row_27	EBP	3863	0.36989229917526245	0.65306944	No	
row_28	GNAI1	3891	0.36633360385894775	0.6564431	No	
row_29	TP53INP1	5942	0.14955419301986694	0.5317475	No	
row_30	TM7SF2	6459	0.11102161556482315	0.5013709	No	
row_31	ACAT2	6472	0.11022082716226578	0.5021463	No	
row_32	PLSCR1	6600	0.1025276929140091	0.49570516	No	
row_33	NFIL3	6900	0.08315209299325943	0.47836226	No	
row_34	ERRFI1	6983	0.07690563052892685	0.4743508	No	
row_35	SEMA3B	7168	0.06510254740715027	0.46387008	No	
row_36	GUSB	7441	0.04564345255494118	0.4476803	No	
row_37	PPARG	7674	0.03165595233440399	0.4337712	No	
row_38	PCYT2	7703	0.029596753418445587	0.43244734	No	
row_39	NIBAN1	8271	-0.002088464330881834	0.39741766	No	
row_40	ANTXR2	8537	-0.017665257677435875	0.38127553	No	
row_41	TMEM97	9490	-0.07872150093317032	0.32349572	No	
row_42	PLAUR	9892	-0.10526200383901596	0.3001504	No	
row_43	ETHE1	10457	-0.14658483862876892	0.26729545	No	
row_44	ATF5	10548	-0.15366233885288239	0.26384604	No	
row_45	GSTM2	10603	-0.15782476961612701	0.26267985	No	
row_46	CTNNB1	10849	-0.17763788998126984	0.2499766	No	
row_47	ABCA2	10856	-0.1780586987733841	0.25205687	No	
row_48	ACTG1	10886	-0.18041366338729858	0.25274745	No	
row_49	FBXO6	11375	-0.22032739222049713	0.22560686	No	
row_50	TNFRSF12A	12506	-0.33787065744400024	0.16038866	No	
row_51	PMVK	12514	-0.3389465808868408	0.16462198	No	
row_52	CLU	12741	-0.3671216070652008	0.15570208	No	
row_53	GPX8	14267	-0.6136967539787292	0.06985765	No	
row_54	CD9	14446	-0.6504926085472107	0.06780672	No	
row_55	GLDC	14648	-0.6998794078826904	0.06501356	No	
row_56	FABP5	16190	-2.3738791942596436	0.00241154	No	
