NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL3	3	10.824214935302734	0.06481282	Yes	
row_1	FADS1	4	10.494850158691406	0.12783432	Yes	
row_2	SCD	5	9.50696849822998	0.18492359	Yes	
row_3	INSIG1	9	8.75098991394043	0.2372867	Yes	
row_4	STARD4	12	7.784876346588135	0.28391048	Yes	
row_5	LDLR	19	6.042723178863525	0.31982395	Yes	
row_6	FADS2	36	4.378042221069336	0.3451193	Yes	
row_7	RDH11	45	4.160498142242432	0.36960566	Yes	
row_8	CANX	75	3.407987117767334	0.38826758	Yes	
row_9	NAMPT	80	3.3106391429901123	0.40789923	Yes	
row_10	ELOVL5	89	3.1468546390533447	0.42629868	Yes	
row_11	SLC2A3	106	2.9091451168060303	0.4427733	Yes	
row_12	ADIPOR2	121	2.839928388595581	0.45895663	Yes	
row_13	ERO1A	167	2.511047601699829	0.47123763	Yes	
row_14	SQSTM1	185	2.4172654151916504	0.48469636	Yes	
row_15	DHCR7	205	2.2738611698150635	0.49716955	Yes	
row_16	GCLC	221	2.208369255065918	0.5094982	Yes	
row_17	PPP1R15A	239	2.1571500301361084	0.5213949	Yes	
row_18	SDF2L1	243	2.1522555351257324	0.53413266	Yes	
row_19	GLRX	263	2.08518385887146	0.5454729	Yes	
row_20	AK4	290	2.017803430557251	0.5559733	Yes	
row_21	TBK1	304	1.9683681726455688	0.5669851	Yes	
row_22	IDI1	307	1.9572927951812744	0.57861423	Yes	
row_23	DDIT3	325	1.9217195510864258	0.5890972	Yes	
row_24	PITPNB	333	1.9101910591125488	0.60013264	Yes	
row_25	GSK3B	373	1.8265315294265747	0.6086762	Yes	
row_26	HPRT1	389	1.7969088554382324	0.618534	Yes	
row_27	SLC7A11	418	1.7344228029251099	0.62720835	Yes	
row_28	ACACA	463	1.6638715267181396	0.63446426	Yes	
row_29	STC1	500	1.616141676902771	0.64193094	Yes	
row_30	UFM1	513	1.5883209705352783	0.6507227	Yes	
row_31	HMGCS1	560	1.535325527191162	0.6570823	Yes	
row_32	SLC7A5	600	1.493848204612732	0.6636281	Yes	
row_33	IFRD1	603	1.490876317024231	0.6724565	Yes	
row_34	ME1	635	1.4586154222488403	0.6792881	Yes	
row_35	PSMD12	729	1.3728407621383667	0.6817498	Yes	
row_36	MAP2K3	737	1.367671251296997	0.68952745	Yes	
row_37	EDEM1	796	1.3241878747940063	0.6938731	Yes	
row_38	HMGCR	920	1.2271790504455566	0.693595	Yes	
row_39	SQLE	967	1.1970161199569702	0.69792306	Yes	
row_40	SERP1	978	1.1895653009414673	0.70444465	Yes	
row_41	HK2	1154	1.0759999752044678	0.7000257	Yes	
row_42	SC5D	1194	1.0546132326126099	0.70393384	Yes	
row_43	PLOD2	1303	0.9927445650100708	0.7031805	Yes	
row_44	TRIB3	1335	0.9789986610412598	0.70713204	Yes	
row_45	ACTR2	1339	0.9763140678405762	0.71280825	Yes	
row_46	GLA	1414	0.943414568901062	0.7138726	Yes	
row_47	HSPD1	1438	0.9324406385421753	0.7180419	Yes	
row_48	UCHL5	1480	0.9144450426101685	0.72098404	Yes	
row_49	CYP51A1	1629	0.8552666306495667	0.71691823	Yes	
row_50	P4HA1	1671	0.8419994711875916	0.7194253	Yes	
row_51	USO1	1698	0.8343867659568787	0.72281927	Yes	
row_52	ELOVL6	1700	0.8332021236419678	0.7277605	Yes	
row_53	MTHFD2L	1959	0.7476994395256042	0.7162096	No	
row_54	RIT1	1965	0.7459543347358704	0.7203782	No	
row_55	DHCR24	2104	0.7060830593109131	0.7160383	No	
row_56	SSR1	2204	0.6822002530097961	0.71397966	No	
row_57	UBE2D3	2351	0.6441571712493896	0.7087705	No	
row_58	VLDLR	2436	0.6250617504119873	0.70730144	No	
row_59	RAB1A	2742	0.5573524832725525	0.6916854	No	
row_60	XBP1	2803	0.5446518063545227	0.6912256	No	
row_61	ENO1	2936	0.5177220702171326	0.6861276	No	
row_62	ATP2A2	3076	0.48876386880874634	0.68042046	No	
row_63	ETF1	3097	0.48463332653045654	0.68208724	No	
row_64	CCNG1	3337	0.44728681445121765	0.6699137	No	
row_65	SYTL2	3340	0.4466903507709503	0.6724717	No	
row_66	HMBS	3358	0.44467341899871826	0.674085	No	
row_67	NUFIP1	3365	0.4440664052963257	0.6763786	No	
row_68	FKBP2	3850	0.3713372051715851	0.6485165	No	
row_69	EBP	3863	0.36989229917526245	0.6499916	No	
row_70	ACLY	3918	0.3622736930847168	0.6488097	No	
row_71	SORD	3970	0.3547574579715729	0.6477691	No	
row_72	RPN1	3991	0.35190173983573914	0.6486388	No	
row_73	DDIT4	4002	0.35032638907432556	0.6501208	No	
row_74	PSMC6	4018	0.3483659029006958	0.6512801	No	
row_75	PIK3R3	4069	0.34209662675857544	0.6502257	No	
row_76	ACTR3	4220	0.32363981008529663	0.6428431	No	
row_77	PNP	4691	0.2688118815422058	0.61523575	No	
row_78	NHERF1	5021	0.23515544831752777	0.5961928	No	
row_79	POLR3G	5276	0.20805290341377258	0.58165	No	
row_80	TOMM40	5337	0.20213964581489563	0.57913345	No	
row_81	CTH	6160	0.13230516016483307	0.52882123	No	
row_82	CDKN1A	6277	0.12398692220449448	0.52235365	No	
row_83	ASNS	6288	0.12329239398241043	0.5224723	No	
row_84	TM7SF2	6459	0.11102161556482315	0.5125695	No	
row_85	EIF2S2	6565	0.10428840667009354	0.5066675	No	
row_86	CYB5B	6656	0.0981997400522232	0.50166154	No	
row_87	NFIL3	6900	0.08315209299325943	0.4870527	No	
row_88	RRM2	6935	0.08043407648801804	0.4854218	No	
row_89	PLK1	7073	0.07100733369588852	0.47733042	No	
row_90	FGL2	7195	0.06237895414233208	0.470182	No	
row_91	HSPA4	7264	0.05770463868975639	0.46630073	No	
row_92	PSMA4	7289	0.055550284683704376	0.46514213	No	
row_93	MTHFD2	7306	0.05427663400769234	0.46447328	No	
row_94	IGFBP5	7309	0.05406256020069122	0.46467358	No	
row_95	NUP205	7388	0.04901144653558731	0.46011835	No	
row_96	SLC37A4	7859	0.01964283362030983	0.43101472	No	
row_97	ATP6V1D	7947	0.014991833828389645	0.42569566	No	
row_98	SLC1A4	8058	0.008028300479054451	0.41890475	No	
row_99	ABCF2	8079	0.006976532284170389	0.41770318	No	
row_100	M6PR	8241	-8.908170857466757E-4	0.4076986	No	
row_101	NIBAN1	8271	-0.002088464330881834	0.4059081	No	
row_102	PSMG1	8387	-0.007956060580909252	0.39880592	No	
row_103	PSMC4	8580	-0.020136339589953423	0.3869895	No	
row_104	TUBA4A	8835	-0.037777431309223175	0.37142426	No	
row_105	BTG2	8859	-0.038578685373067856	0.37022594	No	
row_106	RRP9	8899	-0.0409366711974144	0.368047	No	
row_107	CACYBP	9137	-0.056154102087020874	0.35364905	No	
row_108	PNO1	9483	-0.07788968086242676	0.3326669	No	
row_109	TMEM97	9490	-0.07872150093317032	0.33276656	No	
row_110	TFRC	9598	-0.08542738854885101	0.326627	No	
row_111	CCT6A	9660	-0.08954709023237228	0.32337213	No	
row_112	PFKL	9693	-0.09171024709939957	0.3219333	No	
row_113	SEC11A	9955	-0.10957665741443634	0.306364	No	
row_114	TES	10047	-0.11613848060369492	0.3014036	No	
row_115	NFKBIB	10214	-0.1285739243030548	0.2918549	No	
row_116	DDX39A	10282	-0.1334235668182373	0.28849044	No	
row_117	DHFR	10422	-0.14405812323093414	0.28071338	No	
row_118	BCAT1	10834	-0.1758057028055191	0.25621575	No	
row_119	GGA2	10948	-0.18563726544380188	0.2503049	No	
row_120	YKT6	11031	-0.19218042492866516	0.2463607	No	
row_121	NUPR1	11051	-0.19385755062103271	0.24634352	No	
row_122	CTSC	11200	-0.20639880001544952	0.23838125	No	
row_123	PHGDH	11394	-0.22232718765735626	0.22771682	No	
row_124	EPRS1	11437	-0.2258637547492981	0.22646184	No	
row_125	NFYC	11825	-0.26204782724380493	0.20397426	No	
row_126	AURKA	11991	-0.278354674577713	0.19538713	No	
row_127	UNG	12006	-0.27991217374801636	0.19619757	No	
row_128	FDXR	12145	-0.2952619194984436	0.18939066	No	
row_129	PSAT1	12163	-0.29661256074905396	0.19011487	No	
row_130	COPS5	12170	-0.29729315638542175	0.19152707	No	
row_131	EGLN3	12207	-0.3005759119987488	0.19109377	No	
row_132	IMMT	12257	-0.30564650893211365	0.18988268	No	
row_133	ADD3	12874	-0.38231217861175537	0.15387952	No	
row_134	EEF1E1	13125	-0.41576167941093445	0.14083278	No	
row_135	NMT1	13218	-0.4290142357349396	0.13768904	No	
row_136	RPA1	13369	-0.4520008862018585	0.13107726	No	
row_137	TUBG1	13391	-0.45567476749420166	0.13250794	No	
row_138	PDAP1	13696	-0.5019911527633667	0.11662162	No	
row_139	PSMD13	13801	-0.5216503739356995	0.113288075	No	
row_140	CD9	14446	-0.6504926085472107	0.07715448	No	
row_141	PSPH	14736	-0.7272191047668457	0.06355326	No	
row_142	MCM2	14763	-0.7343453168869019	0.06634649	No	
row_143	CORO1A	14953	-0.7920309901237488	0.05935182	No	
row_144	SLA	15214	-0.8886856436729431	0.048523236	No	
row_145	CXCR4	16193	-2.41815447807312	0.0022384669	No	
