NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	5	9.50696849822998	0.08626618	Yes	
row_1	INSIG1	9	8.75098991394043	0.16577204	Yes	
row_2	STARD4	12	7.784876346588135	0.23654191	Yes	
row_3	SREBF1	46	4.141016483306885	0.2722052	Yes	
row_4	SREBF2	49	4.0937395095825195	0.30936125	Yes	
row_5	HSD17B12	125	2.790177822113037	0.33011717	Yes	
row_6	AKR1C1	129	2.7736432552337646	0.35518956	Yes	
row_7	HSD17B4	142	2.6929640769958496	0.3789689	Yes	
row_8	MED1	173	2.484302043914795	0.39973122	Yes	
row_9	INSIG2	184	2.421164035797119	0.42115942	Yes	
row_10	DHCR7	205	2.2738611698150635	0.4406258	Yes	
row_11	FASN	233	2.177678108215332	0.45878193	Yes	
row_12	LSS	262	2.0879650115966797	0.47605905	Yes	
row_13	OSBP	277	2.0402719974517822	0.49377045	Yes	
row_14	IDI1	307	1.9572927951812744	0.50979555	Yes	
row_15	MSMO1	339	1.894997477531433	0.52512926	Yes	
row_16	ABCC3	357	1.857944130897522	0.54099417	Yes	
row_17	FDPS	404	1.7732125520706177	0.55428815	Yes	
row_18	LBR	451	1.6778424978256226	0.5667137	Yes	
row_19	ACACA	463	1.6638715267181396	0.5811835	Yes	
row_20	MTF1	473	1.6496621370315552	0.595648	Yes	
row_21	HMGCS1	560	1.535325527191162	0.60429394	Yes	
row_22	CREBBP	702	1.3923102617263794	0.6082252	Yes	
row_23	MVD	709	1.3866556882858276	0.6204807	Yes	
row_24	TBL1X	716	1.3828898668289185	0.63270193	Yes	
row_25	HSD17B7	781	1.333817481994629	0.6408778	Yes	
row_26	FDX1	817	1.302686095237732	0.6505694	Yes	
row_27	SQLE	967	1.1970161199569702	0.6522258	Yes	
row_28	NCOA6	1133	1.0847258567810059	0.65186703	Yes	
row_29	SAR1B	1143	1.0816693305969238	0.661159	Yes	
row_30	NFYA	1168	1.0654807090759277	0.6693729	Yes	
row_31	SEC24A	1180	1.059696912765503	0.6783407	Yes	
row_32	SC5D	1194	1.0546132326126099	0.6871381	Yes	
row_33	PPARA	1401	0.9485722780227661	0.6829957	Yes	
row_34	STARD3NL	1493	0.9080182313919067	0.68561876	Yes	
row_35	CYP51A1	1629	0.8552666306495667	0.68503165	Yes	
row_36	ELOVL6	1700	0.8332021236419678	0.68827635	Yes	
row_37	MVK	1782	0.8027923703193665	0.6905616	Yes	
row_38	DHCR24	2104	0.7060830593109131	0.67707604	No	
row_39	NSDHL	2107	0.7052057385444641	0.683374	No	
row_40	GGPS1	2209	0.6801776885986328	0.6833018	No	
row_41	AKR1B1	2214	0.6792214512825012	0.6892391	No	
row_42	CHD9	2724	0.561183512210846	0.66277	No	
row_43	TBL1XR1	2861	0.5322772264480591	0.65917945	No	
row_44	FDFT1	3287	0.45500648021698	0.63695496	No	
row_45	NFYB	3832	0.37452417612075806	0.60661453	No	
row_46	EBP	3863	0.36989229917526245	0.60812175	No	
row_47	VDR	3933	0.3602347671985626	0.60712135	No	
row_48	HSD17B14	4156	0.33103445172309875	0.59636253	No	
row_49	HSD17B11	4244	0.32133346796035767	0.5938911	No	
row_50	SEC24D	4246	0.32114532589912415	0.5967536	No	
row_51	TSPOAP1	4323	0.31168508529663086	0.59487677	No	
row_52	OSBPL3	4370	0.30642369389533997	0.5948133	No	
row_53	AKR1C2	4392	0.3034484386444092	0.5962738	No	
row_54	TGS1	4546	0.28469547629356384	0.58937395	No	
row_55	PLPP6	4921	0.2454184889793396	0.568405	No	
row_56	NCOA1	5069	0.2306687980890274	0.56138533	No	
row_57	MBTPS2	5155	0.2220817655324936	0.55813414	No	
row_58	CYP2R1	5250	0.21158993244171143	0.554229	No	
row_59	CH25H	5608	0.17682966589927673	0.5336902	No	
row_60	SLC51A	5619	0.1757490336894989	0.5346703	No	
row_61	SEC24B	6427	0.1144522875547409	0.48564428	No	
row_62	TM7SF2	6459	0.11102161556482315	0.484732	No	
row_63	ACAT2	6472	0.11022082716226578	0.48499125	No	
row_64	SEC24C	6553	0.10525809228420258	0.4809864	No	
row_65	ACOT8	6695	0.09574885666370392	0.47311035	No	
row_66	SP1	7220	0.06040297821164131	0.4411502	No	
row_67	STS	7331	0.05250715836882591	0.4348037	No	
row_68	AKR1C3	7439	0.04567979648709297	0.42858112	No	
row_69	ARV1	7633	0.033560771495103836	0.41691256	No	
row_70	AKR1B15	7720	0.028503820300102234	0.41183648	No	
row_71	SCAP	7738	0.027064591646194458	0.41102824	No	
row_72	KPNB1	7904	0.017081450670957565	0.4009468	No	
row_73	HSD11B1	8155	0.0032708661165088415	0.38546595	No	
