NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS27	1372	0.961304247379303	-0.061259814	No	
row_1	MRPL42	2233	0.6739161014556885	-0.09789633	No	
row_2	MTRES1	3113	0.48185375332832336	-0.14045443	No	
row_3	MALSU1	3145	0.47726017236709595	-0.13058572	No	
row_4	MRPL53	3702	0.39285552501678467	-0.15532987	No	
row_5	MRPL33	4154	0.33159658312797546	-0.17508169	No	
row_6	MRPL19	4618	0.27661362290382385	-0.1969352	No	
row_7	MRPS30	4813	0.2562687397003174	-0.20262462	No	
row_8	MRPL49	5267	0.20953097939491272	-0.22551563	No	
row_9	MRPL35	5587	0.1788107305765152	-0.24086317	No	
row_10	MRPS5	5830	0.16006916761398315	-0.2519029	No	
row_11	MRPL1	5853	0.15749917924404144	-0.24937539	No	
row_12	MRPL32	5979	0.14607617259025574	-0.25351173	No	
row_13	MRPL47	6465	0.11058977991342545	-0.28082946	No	
row_14	KGD4	6612	0.1015959084033966	-0.28736567	No	
row_15	MRPL39	6661	0.09759476035833359	-0.28792885	No	
row_16	MIEF1	6806	0.08821502327919006	-0.29467165	No	
row_17	MRPS31	6810	0.08788122236728668	-0.29268667	No	
row_18	MRPS15	6865	0.08484707027673721	-0.2939365	No	
row_19	MRPL22	6932	0.08070217818021774	-0.29603216	No	
row_20	MRPS14	7315	0.05332377180457115	-0.31838286	No	
row_21	MRPL50	7808	0.022906161844730377	-0.3483003	No	
row_22	DAP3	7914	0.01674165576696396	-0.35439232	No	
row_23	MRPS35	8190	0.001761970343068242	-0.3713872	No	
row_24	MRPS17	8607	-0.021911434829235077	-0.39662042	No	
row_25	MRPS24	8728	-0.030466614291071892	-0.40330276	No	
row_26	MRPS6	8998	-0.04643093794584274	-0.4188225	No	
row_27	MRPS9	9260	-0.06399943679571152	-0.43341255	No	
row_28	MRPL12	9471	-0.07713387161493301	-0.44451833	No	
row_29	MRPL36	9864	-0.10313615947961807	-0.46625814	No	
row_30	MRPL38	9973	-0.11148544400930405	-0.47019562	No	
row_31	ERAL1	10172	-0.12537604570388794	-0.4793662	No	
row_32	MRPL15	10221	-0.12947320938110352	-0.47914192	No	
row_33	MRPL45	10332	-0.13706357777118683	-0.4825715	No	
row_34	MRPS22	10543	-0.15350353717803955	-0.49179077	No	
row_35	MRPL44	10734	-0.16858449578285217	-0.49939835	No	
row_36	MRPL4	10938	-0.1851457953453064	-0.5074023	No	
row_37	MRPS10	10945	-0.18543389439582825	-0.5031934	No	
row_38	MRPL27	11239	-0.20866908133029938	-0.51619244	No	
row_39	MRPL13	11318	-0.21463754773139954	-0.5157231	No	
row_40	PTCD3	11569	-0.23798786103725433	-0.52533376	No	
row_41	MRPL58	11623	-0.24315106868743896	-0.52261114	No	
row_42	MRPL54	11767	-0.25645318627357483	-0.5251362	No	
row_43	OXA1L	11786	-0.25929850339889526	-0.51984614	No	
row_44	MRPS7	11836	-0.2634173333644867	-0.51637506	No	
row_45	MRPL11	12010	-0.28006988763809204	-0.5201754	No	
row_46	CHCHD1	12097	-0.2899840474128723	-0.5183405	No	
row_47	MRPS28	12179	-0.2981666922569275	-0.5159937	No	
row_48	MRPL2	12237	-0.30327239632606506	-0.5120338	No	
row_49	MRPS16	12555	-0.34346216917037964	-0.5231902	No	
row_50	MRPL21	12817	-0.37568944692611694	-0.5300808	Yes	
row_51	MRPS25	12949	-0.390989750623703	-0.52853894	Yes	
row_52	MRPL52	12977	-0.3940037190914154	-0.520479	Yes	
row_53	MRPL30	13241	-0.4323057234287262	-0.52609503	Yes	
row_54	MRPS2	13406	-0.4576689302921295	-0.5249507	Yes	
row_55	MRPL23	13429	-0.46149003505706787	-0.51491386	Yes	
row_56	MRPL18	13544	-0.479308545589447	-0.5101371	Yes	
row_57	MRPL57	13570	-0.48244521021842957	-0.49976853	Yes	
row_58	MRPL48	13647	-0.49345478415489197	-0.49228787	Yes	
row_59	MRPL3	13701	-0.5027459263801575	-0.4831527	Yes	
row_60	MRPS21	13737	-0.5111864805221558	-0.47269377	Yes	
row_61	MRPL46	13864	-0.5338563323020935	-0.467313	Yes	
row_62	MRPL16	14143	-0.5874108672142029	-0.4700269	Yes	
row_63	MRPL34	14390	-0.6394548416137695	-0.46947256	Yes	
row_64	MRPS23	14444	-0.6503342390060425	-0.45669162	Yes	
row_65	MRPL9	14485	-0.6615542769432068	-0.44282803	Yes	
row_66	MRPS18C	14533	-0.6701061129570007	-0.4291869	Yes	
row_67	MRPS12	14543	-0.6738172173500061	-0.41309974	Yes	
row_68	MRPS18A	14619	-0.6934977769851685	-0.4006156	Yes	
row_69	MRPL14	14628	-0.6946752667427063	-0.38395122	Yes	
row_70	MRPL28	14651	-0.7003991007804871	-0.36801288	Yes	
row_71	MRPL51	14752	-0.7313781380653381	-0.35614195	Yes	
row_72	MRPS33	14770	-0.7362901568412781	-0.3390072	Yes	
row_73	MRPS18B	14885	-0.7701875567436218	-0.32704502	Yes	
row_74	MRPS26	14987	-0.8026508092880249	-0.3134755	Yes	
row_75	MTRFR	15040	-0.8215368390083313	-0.2964035	Yes	
row_76	MRPL41	15054	-0.8256961107254028	-0.27681237	Yes	
row_77	MRPS11	15191	-0.8765175342559814	-0.2635867	Yes	
row_78	MRPL17	15258	-0.9104793071746826	-0.24518502	Yes	
row_79	MRPL55	15290	-0.922595739364624	-0.22431551	Yes	
row_80	MRPS34	15294	-0.9244062304496765	-0.20166646	Yes	
row_81	GADD45GIP1	15310	-0.931006133556366	-0.17959787	Yes	
row_82	AURKAIP1	15318	-0.9337964057922363	-0.1569647	Yes	
row_83	MRPL40	15545	-1.0583621263504028	-0.14482325	Yes	
row_84	MRPL43	15564	-1.0703308582305908	-0.11949889	Yes	
row_85	NDUFAB1	15596	-1.0977438688278198	-0.09430284	Yes	
row_86	MRPL20	15601	-1.101808786392212	-0.067333505	Yes	
row_87	MRPL37	15676	-1.1544915437698364	-0.043399837	Yes	
row_88	MRPL24	15828	-1.3002151250839233	-0.020637225	Yes	
row_89	MRPL10	16116	-1.8387067317962646	0.0070010754	Yes	
