NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJB9	8	8.763114929199219	0.16387415	Yes	
row_1	LPCAT3	11	8.055313110351562	0.31484282	Yes	
row_2	HSPA5	18	6.181375503540039	0.43041524	Yes	
row_3	HSPA1A	37	4.344179153442383	0.5107864	Yes	
row_4	HERPUD1	60	3.892378568649292	0.5824362	Yes	
row_5	USP14	171	2.4978480339050293	0.6224932	Yes	
row_6	SYVN1	186	2.409355878829956	0.6668203	Yes	
row_7	PPP1R15A	239	2.1571500301361084	0.70406955	Yes	
row_8	PPP1R15B	246	2.1379525661468506	0.74380016	Yes	
row_9	SELENOS	320	1.9295752048492432	0.77548367	Yes	
row_10	WFS1	479	1.642391562461853	0.79653	Yes	
row_11	UBXN2A	1208	1.0442112684249878	0.7711473	No	
row_12	UFL1	1585	0.87163907289505	0.76427084	No	
row_13	XBP1	2803	0.5446518063545227	0.69931227	No	
row_14	OPA1	3665	0.39876627922058105	0.6536076	No	
row_15	NR1H3	3982	0.3533237874507904	0.6407154	No	
row_16	PTPN1	4063	0.342846155166626	0.6422045	No	
row_17	DDRGK1	4773	0.26128777861595154	0.6033103	No	
row_18	CREB3	4797	0.2580135762691498	0.6067291	No	
row_19	TXNDC12	4819	0.2559677064418793	0.610233	No	
row_20	ABCA7	5273	0.20864519476890564	0.5861646	No	
row_21	NCK1	5523	0.18566593527793884	0.5742663	No	
row_22	NCK2	6128	0.13522015511989594	0.5394933	No	
row_23	CREB3L1	6449	0.112073615193367	0.52182895	No	
row_24	USP25	6677	0.09659456461668015	0.5096189	No	
row_25	PRKN	6976	0.0774168074131012	0.4926634	No	
row_26	BCL2L1	7750	0.026211891323328018	0.4454066	No	
row_27	BFAR	8845	-0.03811854124069214	0.37854484	No	
row_28	AQP11	9579	-0.08431269973516464	0.3348486	No	
row_29	TMBIM6	9822	-0.10066791623830795	0.3217884	No	
row_30	ATAD3A	10396	-0.1421952247619629	0.28906113	No	
row_31	NR1H2	10780	-0.1719985008239746	0.26862922	No	
row_32	SVIP	10798	-0.17313656210899353	0.27082664	No	
row_33	LRRK2	11027	-0.1919516772031784	0.2603434	No	
row_34	RACK1	11828	-0.262261301279068	0.21584632	No	
row_35	ATF6B	11929	-0.2719095051288605	0.21476945	No	
row_36	CLU	12741	-0.3671216070652008	0.17155974	No	
row_37	SGTA	13057	-0.4050899147987366	0.15970029	No	
row_38	UBXN1	13930	-0.5454110503196716	0.11606674	No	
row_39	AKT1	14466	-0.6533882021903992	0.095275104	No	
row_40	PARK7	14723	-0.7231638431549072	0.09302616	No	
