NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA5	3833	0.37444835901260376	-0.22042614	No	
row_1	NDUFC2	4859	0.25171375274658203	-0.27276278	No	
row_2	ATP5MG	6937	0.08016981929540634	-0.39755666	No	
row_3	NDUFS1	8117	0.0052895983681082726	-0.47014877	No	
row_4	NDUFV2	8424	-0.010523185133934021	-0.48859054	No	
row_5	ATP6AP2	8663	-0.025442732498049736	-0.50218177	No	
row_6	ATP5PO	9566	-0.08310981094837189	-0.5542718	No	
row_7	NDUFA6	10446	-0.1456620842218399	-0.6022141	No	
row_8	NDUFB8	10534	-0.15292681753635406	-0.60092056	No	
row_9	NDUFA4L2	11188	-0.2055881768465042	-0.632291	No	
row_10	NDUFS4	11453	-0.22738035023212433	-0.6386842	No	
row_11	NDUFV3	11952	-0.27351123094558716	-0.6575196	No	
row_12	NDUFA9	12072	-0.2866309881210327	-0.6523735	No	
row_13	NDUFB6	12468	-0.33272242546081543	-0.6622655	Yes	
row_14	NDUFB2	12692	-0.3603968322277069	-0.6603271	Yes	
row_15	ATP5ME	12743	-0.36724570393562317	-0.6474045	Yes	
row_16	ATP5PB	12768	-0.3690096139907837	-0.632799	Yes	
row_17	NDUFS5	13138	-0.4168161451816559	-0.63741887	Yes	
row_18	ATP5MF	13236	-0.4317689538002014	-0.6245862	Yes	
row_19	NDUFA4	13540	-0.4788598120212555	-0.6224245	Yes	
row_20	NDUFB5	13641	-0.4929925799369812	-0.607108	Yes	
row_21	ATP5F1D	13839	-0.5295959115028381	-0.59618706	Yes	
row_22	DMAC2L	13970	-0.5533497929573059	-0.5800922	Yes	
row_23	NDUFA10	14043	-0.5660066604614258	-0.559863	Yes	
row_24	ATP5F1E	14069	-0.5711889863014221	-0.53650486	Yes	
row_25	ATP5MC3	14128	-0.5853717923164368	-0.5145667	Yes	
row_26	NDUFA11	14248	-0.6095991134643555	-0.49534005	Yes	
row_27	NDUFA3	14283	-0.6184234023094177	-0.47047853	Yes	
row_28	NDUFS6	14319	-0.6245778799057007	-0.44541046	Yes	
row_29	NDUFS8	14525	-0.6686894297599792	-0.42891952	Yes	
row_30	NDUFB4	14592	-0.6866947412490845	-0.40305808	Yes	
row_31	NDUFB1	14867	-0.7628816962242126	-0.38672253	Yes	
row_32	ATP5MC2	15323	-0.9362342357635498	-0.37400904	Yes	
row_33	NDUFAB1	15596	-1.0977438688278198	-0.34295088	Yes	
row_34	NDUFB7	15624	-1.1173350811004639	-0.29590577	Yes	
row_35	NDUFB9	15778	-1.240483283996582	-0.25127435	Yes	
row_36	NDUFC1	15915	-1.3990554809570312	-0.19867957	Yes	
row_37	NDUFA2	15950	-1.4472177028656006	-0.13768485	Yes	
row_38	NDUFS3	15974	-1.4796961545944214	-0.074594736	Yes	
row_39	NDUFB10	16155	-2.070848226547241	0.0045706653	Yes	
