NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDHD	1286	0.9995005130767822	-0.05255889	No	
row_1	MT-ND4L	3089	0.4866723120212555	-0.15089868	No	
row_2	ATP5PF	3359	0.4446445405483246	-0.15552776	No	
row_3	NDUFA5	3833	0.37444835901260376	-0.17467488	No	
row_4	MT-ND2	4165	0.3299056887626648	-0.18624002	No	
row_5	MT-ND5	4604	0.27785181999206543	-0.20583166	No	
row_6	SDHC	4759	0.263069748878479	-0.2082517	No	
row_7	MT-ATP6	4792	0.25860536098480225	-0.20324427	No	
row_8	MT-ND6	4794	0.25836628675460815	-0.19632533	No	
row_9	NDUFC2	4859	0.25171375274658203	-0.19348392	No	
row_10	MT-ATP8	5151	0.2224419116973877	-0.20547783	No	
row_11	MT-ND4	5153	0.22208230197429657	-0.19953926	No	
row_12	MT-ND1	5386	0.19833603501319885	-0.20853418	No	
row_13	MT-ND3	6189	0.1300041377544403	-0.2546411	No	
row_14	ATP5MG	6937	0.08016981929540634	-0.29869166	No	
row_15	NDUFA12	7351	0.05143963545560837	-0.32285398	No	
row_16	NDUFS1	8117	0.0052895983681082726	-0.3700414	No	
row_17	NDUFV2	8424	-0.010523185133934021	-0.3886892	No	
row_18	ATP5PO	9566	-0.08310981094837189	-0.45703697	No	
row_19	NDUFA6	10446	-0.1456620842218399	-0.5074848	No	
row_20	NDUFB8	10534	-0.15292681753635406	-0.50873554	No	
row_21	ATP5MK	10747	-0.16958671808242798	-0.51726985	No	
row_22	VPS9D1	11062	-0.19487382471561432	-0.5314316	No	
row_23	NDUFS4	11453	-0.22738035023212433	-0.5494172	No	
row_24	SDHB	11876	-0.2672373652458191	-0.56830573	Yes	
row_25	NDUFV3	11952	-0.27351123094558716	-0.56555593	Yes	
row_26	ATP5PD	11997	-0.2789314389228821	-0.5607417	Yes	
row_27	NDUFA9	12072	-0.2866309881210327	-0.5575756	Yes	
row_28	ATP5MC1	12153	-0.29590120911598206	-0.5545302	Yes	
row_29	ATP5F1C	12338	-0.3167077600955963	-0.5573571	Yes	
row_30	NDUFA1	12467	-0.33255553245544434	-0.5562911	Yes	
row_31	NDUFB6	12468	-0.33272242546081543	-0.54730123	Yes	
row_32	NDUFB2	12692	-0.3603968322277069	-0.5513606	Yes	
row_33	ATP5ME	12743	-0.36724570393562317	-0.54453146	Yes	
row_34	ATP5PB	12768	-0.3690096139907837	-0.536046	Yes	
row_35	NDUFS5	13138	-0.4168161451816559	-0.547614	Yes	
row_36	NDUFA8	13202	-0.4266916513442993	-0.539983	Yes	
row_37	ATP5MF	13236	-0.4317689538002014	-0.53035873	Yes	
row_38	NDUFA13	13361	-0.4498157501220703	-0.52587694	Yes	
row_39	NDUFB5	13641	-0.4929925799369812	-0.5298184	Yes	
row_40	NDUFB3	13774	-0.5178016424179077	-0.52399474	Yes	
row_41	ATP5F1D	13839	-0.5295959115028381	-0.51364523	Yes	
row_42	NDUFA10	14043	-0.5660066604614258	-0.5109118	Yes	
row_43	ATP5F1E	14069	-0.5711889863014221	-0.49702555	Yes	
row_44	ATP5MC3	14128	-0.5853717923164368	-0.48479784	Yes	
row_45	NDUFS2	14224	-0.6048189997673035	-0.47433382	Yes	
row_46	NDUFA11	14248	-0.6095991134643555	-0.45928603	Yes	
row_47	NDUFA3	14283	-0.6184234023094177	-0.4446804	Yes	
row_48	NDUFS6	14319	-0.6245778799057007	-0.42997035	Yes	
row_49	NDUFS8	14525	-0.6686894297599792	-0.4245863	Yes	
row_50	NDUFB4	14592	-0.6866947412490845	-0.41011587	Yes	
row_51	NDUFV1	14662	-0.7039334774017334	-0.39536527	Yes	
row_52	ATP5MJ	14774	-0.7374745011329651	-0.38230693	Yes	
row_53	NDUFS7	14779	-0.739261269569397	-0.3625803	Yes	
row_54	NDUFB1	14867	-0.7628816962242126	-0.34735063	Yes	
row_55	ATP5MC2	15323	-0.9362342357635498	-0.35020518	Yes	
row_56	ATP5F1B	15450	-1.0001071691513062	-0.33097884	Yes	
row_57	NDUFAB1	15596	-1.0977438688278198	-0.31028995	Yes	
row_58	NDUFB7	15624	-1.1173350811004639	-0.2817711	Yes	
row_59	NDUFB9	15778	-1.240483283996582	-0.2577205	Yes	
row_60	ATP5F1A	15885	-1.359747052192688	-0.22753963	Yes	
row_61	NDUFB11	15907	-1.3852272033691406	-0.19141138	Yes	
row_62	NDUFC1	15915	-1.3990554809570312	-0.15404333	Yes	
row_63	SDHA	15924	-1.413384199142456	-0.11635001	Yes	
row_64	NDUFA2	15950	-1.4472177028656006	-0.078794315	Yes	
row_65	NDUFS3	15974	-1.4796961545944214	-0.040237345	Yes	
row_66	NDUFB10	16155	-2.070848226547241	0.004578442	Yes	
