NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDHD	1286	0.9995005130767822	-0.050216734	No	
row_1	MT-ND4L	3089	0.4866723120212555	-0.1473891	No	
row_2	ATP5PF	3359	0.4446445405483246	-0.15098318	No	
row_3	NDUFA5	3833	0.37444835901260376	-0.16925307	No	
row_4	MT-ND2	4165	0.3299056887626648	-0.18004727	No	
row_5	MT-ND5	4604	0.27785181999206543	-0.19898596	No	
row_6	SDHC	4759	0.263069748878479	-0.20079377	No	
row_7	MT-ATP6	4792	0.25860536098480225	-0.19518726	No	
row_8	MT-ND6	4794	0.25836628675460815	-0.18767048	No	
row_9	NDUFC2	4859	0.25171375274658203	-0.1842452	No	
row_10	MT-ATP8	5151	0.2224419116973877	-0.19571775	No	
row_11	MT-ND4	5153	0.22208230197429657	-0.1892653	No	
row_12	MT-ND1	5386	0.19833603501319885	-0.19779597	No	
row_13	MT-ND3	6189	0.1300041377544403	-0.24358368	No	
row_14	ATP5MG	6937	0.08016981929540634	-0.2874316	No	
row_15	NDUFA12	7351	0.05143963545560837	-0.3114654	No	
row_16	NDUFS1	8117	0.0052895983681082726	-0.35862303	No	
row_17	NDUFV2	8424	-0.010523185133934021	-0.37723947	No	
row_18	ATP5PO	9566	-0.08310981094837189	-0.44536874	No	
row_19	NDUFA6	10446	-0.1456620842218399	-0.49545935	No	
row_20	NDUFB8	10534	-0.15292681753635406	-0.49635425	No	
row_21	NDUFS4	11453	-0.22738035023212433	-0.54645985	No	
row_22	SDHB	11876	-0.2672373652458191	-0.56472033	Yes	
row_23	NDUFV3	11952	-0.27351123094558716	-0.561336	Yes	
row_24	ATP5PD	11997	-0.2789314389228821	-0.5558754	Yes	
row_25	NDUFA9	12072	-0.2866309881210327	-0.55204433	Yes	
row_26	ATP5F1C	12338	-0.3167077600955963	-0.55914384	Yes	
row_27	NDUFA1	12467	-0.33255553245544434	-0.5573054	Yes	
row_28	NDUFB6	12468	-0.33272242546081543	-0.54754573	Yes	
row_29	NDUFB2	12692	-0.3603968322277069	-0.55076605	Yes	
row_30	ATP5ME	12743	-0.36724570393562317	-0.54308605	Yes	
row_31	ATP5PB	12768	-0.3690096139907837	-0.5337463	Yes	
row_32	NDUFS5	13138	-0.4168161451816559	-0.5443413	Yes	
row_33	NDUFA8	13202	-0.4266916513442993	-0.5357216	Yes	
row_34	ATP5MF	13236	-0.4317689538002014	-0.52509755	Yes	
row_35	NDUFA13	13361	-0.4498157501220703	-0.51957214	Yes	
row_36	NDUFB5	13641	-0.4929925799369812	-0.5223665	Yes	
row_37	NDUFB3	13774	-0.5178016424179077	-0.5153417	Yes	
row_38	ATP5F1D	13839	-0.5295959115028381	-0.50376534	Yes	
row_39	NDUFA10	14043	-0.5660066604614258	-0.49971768	Yes	
row_40	ATP5F1E	14069	-0.5711889863014221	-0.48450926	Yes	
row_41	NDUFS2	14224	-0.6048189997673035	-0.4762926	Yes	
row_42	NDUFA11	14248	-0.6095991134643555	-0.4598338	Yes	
row_43	NDUFA3	14283	-0.6184234023094177	-0.4437965	Yes	
row_44	NDUFS6	14319	-0.6245778799057007	-0.42764047	Yes	
row_45	NDUFS8	14525	-0.6686894297599792	-0.4207045	Yes	
row_46	NDUFB4	14592	-0.6866947412490845	-0.40464368	Yes	
row_47	NDUFV1	14662	-0.7039334774017334	-0.38826275	Yes	
row_48	NDUFS7	14779	-0.739261269569397	-0.37375236	Yes	
row_49	NDUFB1	14867	-0.7628816962242126	-0.35675555	Yes	
row_50	ATP5F1B	15450	-1.0001071691513062	-0.36341438	Yes	
row_51	NDUFAB1	15596	-1.0977438688278198	-0.34018221	Yes	
row_52	NDUFB7	15624	-1.1173350811004639	-0.30907747	Yes	
row_53	NDUFB9	15778	-1.240483283996582	-0.28215313	Yes	
row_54	ATP5F1A	15885	-1.359747052192688	-0.24882366	Yes	
row_55	NDUFB11	15907	-1.3852272033691406	-0.20948981	Yes	
row_56	NDUFC1	15915	-1.3990554809570312	-0.16888447	Yes	
row_57	SDHA	15924	-1.413384199142456	-0.12792069	Yes	
row_58	NDUFA2	15950	-1.4472177028656006	-0.08701586	Yes	
row_59	NDUFS3	15974	-1.4796961545944214	-0.04503466	Yes	
row_60	NDUFB10	16155	-2.070848226547241	0.0045767706	Yes	
