NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKAG2	347	1.8773193359375	0.02299336	No	
row_1	SDHD	1286	0.9995005130767822	-0.011397252	No	
row_2	MT-ND4L	3089	0.4866723120212555	-0.11142575	No	
row_3	ATP5PF	3359	0.4446445405483246	-0.117544964	No	
row_4	NDUFA5	3833	0.37444835901260376	-0.13795643	No	
row_5	MT-ND2	4165	0.3299056887626648	-0.1506322	No	
row_6	MT-ND5	4604	0.27785181999206543	-0.17116533	No	
row_7	SDHC	4759	0.263069748878479	-0.1744668	No	
row_8	MT-ATP6	4792	0.25860536098480225	-0.17032126	No	
row_9	MT-ND6	4794	0.25836628675460815	-0.16426222	No	
row_10	NDUFC2	4859	0.25171375274658203	-0.16226101	No	
row_11	MT-ATP8	5151	0.2224419116973877	-0.17500637	No	
row_12	MT-ND4	5153	0.22208230197429657	-0.16980696	No	
row_13	MT-ND1	5386	0.19833603501319885	-0.17947084	No	
row_14	MT-ND3	6189	0.1300041377544403	-0.22604114	No	
row_15	IMPDH1	6654	0.09841873496770859	-0.25243482	No	
row_16	ATP5MG	6937	0.08016981929540634	-0.26799357	No	
row_17	NDUFA12	7351	0.05143963545560837	-0.29234293	No	
row_18	NDUFS1	8117	0.0052895983681082726	-0.33957723	No	
row_19	NDUFV2	8424	-0.010523185133934021	-0.35827178	No	
row_20	SLC25A13	8695	-0.027652297168970108	-0.37433183	No	
row_21	ALDOA	9074	-0.051170557737350464	-0.3965208	No	
row_22	ATP5PO	9566	-0.08310981094837189	-0.42494866	No	
row_23	NDUFA6	10446	-0.1456620842218399	-0.47591493	No	
row_24	NDUFB8	10534	-0.15292681753635406	-0.47767794	No	
row_25	ATP5MK	10747	-0.16958671808242798	-0.4867848	No	
row_26	VPS9D1	11062	-0.19487382471561432	-0.5016071	No	
row_27	NDUFS4	11453	-0.22738035023212433	-0.5203644	No	
row_28	SDHB	11876	-0.2672373652458191	-0.5401585	Yes	
row_29	NDUFV3	11952	-0.27351123094558716	-0.53832185	Yes	
row_30	ATP5PD	11997	-0.2789314389228821	-0.53443766	Yes	
row_31	NDUFA9	12072	-0.2866309881210327	-0.5322283	Yes	
row_32	ATP5MC1	12153	-0.29590120911598206	-0.5301708	Yes	
row_33	IMPDH2	12334	-0.31617286801338196	-0.5338238	Yes	
row_34	ATP5F1C	12338	-0.3167077600955963	-0.5265064	Yes	
row_35	TGFB1	12401	-0.3242223560810089	-0.5226636	Yes	
row_36	NDUFA1	12467	-0.33255553245544434	-0.518809	Yes	
row_37	NDUFB6	12468	-0.33272242546081543	-0.51092654	Yes	
row_38	NDUFB2	12692	-0.3603968322277069	-0.51619387	Yes	
row_39	ATP5ME	12743	-0.36724570393562317	-0.5105889	Yes	
row_40	ATP5PB	12768	-0.3690096139907837	-0.5033325	Yes	
row_41	NDUFS5	13138	-0.4168161451816559	-0.5163018	Yes	
row_42	NDUFA8	13202	-0.4266916513442993	-0.5100933	Yes	
row_43	ATP5MF	13236	-0.4317689538002014	-0.5019072	Yes	
row_44	COX11	13280	-0.4385824501514435	-0.49417886	Yes	
row_45	NDUFA13	13361	-0.4498157501220703	-0.48847494	Yes	
row_46	NDUFB5	13641	-0.4929925799369812	-0.49406782	Yes	
row_47	NME2	13693	-0.5008467435836792	-0.4853596	Yes	
row_48	NDUFB3	13774	-0.5178016424179077	-0.47804505	Yes	
row_49	ATP5F1D	13839	-0.5295959115028381	-0.46946055	Yes	
row_50	NDUFA10	14043	-0.5660066604614258	-0.46861866	Yes	
row_51	ATP5F1E	14069	-0.5711889863014221	-0.45663434	Yes	
row_52	ATP5MC3	14128	-0.5853717923164368	-0.446357	Yes	
row_53	NDUFS2	14224	-0.6048189997673035	-0.43790954	Yes	
row_54	NDUFA11	14248	-0.6095991134643555	-0.42489147	Yes	
row_55	NDUFA3	14283	-0.6184234023094177	-0.41234532	Yes	
row_56	NDUFS6	14319	-0.6245778799057007	-0.39971527	Yes	
row_57	NDUFS8	14525	-0.6686894297599792	-0.39656454	Yes	
row_58	NDUFB4	14592	-0.6866947412490845	-0.38438204	Yes	
row_59	NDUFV1	14662	-0.7039334774017334	-0.37197685	Yes	
row_60	ATP5MJ	14774	-0.7374745011329651	-0.36137718	Yes	
row_61	NDUFS7	14779	-0.739261269569397	-0.34411103	Yes	
row_62	NME1	14856	-0.7587792277336121	-0.33083984	Yes	
row_63	NDUFB1	14867	-0.7628816962242126	-0.31338555	Yes	
row_64	NUDT2	14998	-0.8061416149139404	-0.30233535	Yes	
row_65	ATP5MC2	15323	-0.9362342357635498	-0.30021328	Yes	
row_66	ATP5F1B	15450	-1.0001071691513062	-0.28432024	Yes	
row_67	NDUFAB1	15596	-1.0977438688278198	-0.26729032	Yes	
row_68	NDUFB7	15624	-1.1173350811004639	-0.24249113	Yes	
row_69	NDUFB9	15778	-1.240483283996582	-0.22257484	Yes	
row_70	ATP5F1A	15885	-1.359747052192688	-0.19692343	Yes	
row_71	NDUFB11	15907	-1.3852272033691406	-0.16540618	Yes	
row_72	NDUFC1	15915	-1.3990554809570312	-0.13269462	Yes	
row_73	SDHA	15924	-1.413384199142456	-0.099705495	Yes	
row_74	NDUFA2	15950	-1.4472177028656006	-0.066967264	Yes	
row_75	NDUFS3	15974	-1.4796961545944214	-0.033335775	Yes	
row_76	NDUFB10	16155	-2.070848226547241	0.004581099	Yes	
