NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	5	9.50696849822998	0.14778844	Yes	
row_1	INSIG1	9	8.75098991394043	0.283924	Yes	
row_2	SREBF2	49	4.0937395095825195	0.34528458	Yes	
row_3	MED1	173	2.484302043914795	0.37638113	Yes	
row_4	INSIG2	184	2.421164035797119	0.41347933	Yes	
row_5	DHCR7	205	2.2738611698150635	0.44766474	Yes	
row_6	FASN	233	2.177678108215332	0.4799191	Yes	
row_7	LSS	262	2.0879650115966797	0.5107141	Yes	
row_8	IDI1	307	1.9572927951812744	0.5384845	Yes	
row_9	FDPS	404	1.7732125520706177	0.56017286	Yes	
row_10	ACACA	463	1.6638715267181396	0.58250695	Yes	
row_11	MTF1	473	1.6496621370315552	0.60764873	Yes	
row_12	HMGCS1	560	1.535325527191162	0.6262495	Yes	
row_13	CREBBP	702	1.3923102617263794	0.6392225	Yes	
row_14	MVD	709	1.3866556882858276	0.66045266	Yes	
row_15	TBL1X	716	1.3828898668289185	0.6816241	Yes	
row_16	SQLE	967	1.1970161199569702	0.68481696	Yes	
row_17	NCOA6	1133	1.0847258567810059	0.6915149	Yes	
row_18	SAR1B	1143	1.0816693305969238	0.70780855	Yes	
row_19	NFYA	1168	1.0654807090759277	0.7229228	Yes	
row_20	SEC24A	1180	1.059696912765503	0.7387506	Yes	
row_21	SC5D	1194	1.0546132326126099	0.75437546	Yes	
row_22	PPARA	1401	0.9485722780227661	0.756418	Yes	
row_23	CYP51A1	1629	0.8552666306495667	0.7557089	Yes	
row_24	ELOVL6	1700	0.8332021236419678	0.7643612	Yes	
row_25	MVK	1782	0.8027923703193665	0.7718598	Yes	
row_26	GGPS1	2209	0.6801776885986328	0.7561218	No	
row_27	CHD9	2724	0.561183512210846	0.7330903	No	
row_28	TBL1XR1	2861	0.5322772264480591	0.732975	No	
row_29	FDFT1	3287	0.45500648021698	0.71379113	No	
row_30	NFYB	3832	0.37452417612075806	0.6859974	No	
row_31	SEC24D	4246	0.32114532589912415	0.66547006	No	
row_32	TGS1	4546	0.28469547629356384	0.65142196	No	
row_33	NCOA1	5069	0.2306687980890274	0.62274724	No	
row_34	MBTPS2	5155	0.2220817655324936	0.62095237	No	
row_35	SEC24B	6427	0.1144522875547409	0.544167	No	
row_36	TM7SF2	6459	0.11102161556482315	0.5439801	No	
row_37	SEC24C	6553	0.10525809228420258	0.5398709	No	
row_38	SP1	7220	0.06040297821164131	0.4996423	No	
row_39	SCAP	7738	0.027064591646194458	0.46810496	No	
row_40	KPNB1	7904	0.017081450670957565	0.4581714	No	
row_41	HELZ2	9361	-0.07066456228494644	0.36926785	No	
row_42	SEC23A	10057	-0.1170412078499794	0.32812887	No	
row_43	NCOA2	10649	-0.16163089871406555	0.29411337	No	
row_44	ACACB	11349	-0.2174055427312851	0.25429058	No	
row_45	NFYC	11825	-0.26204782724380493	0.22901003	No	
row_46	MBTPS1	12045	-0.2836020588874817	0.21989019	No	
row_47	CARM1	12244	-0.3045273721218109	0.21239445	No	
row_48	GPAM	12435	-0.3290332555770874	0.205775	No	
row_49	PMVK	12514	-0.3389465808868408	0.20623337	No	
row_50	RXRA	12952	-0.39183101058006287	0.18532357	No	
row_51	RAN	13760	-0.5152881145477295	0.14346497	No	
row_52	SMARCD3	14124	-0.5839916467666626	0.130123	No	
