NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETFDH	166	2.513134479522705	0.021285322	No	
row_1	NDUFAF7	529	1.5698418617248535	0.018517416	No	
row_2	ETFA	646	1.4444400072097778	0.02947079	No	
row_3	CYCS	912	1.2349885702133179	0.028523639	No	
row_4	SDHD	1286	0.9995005130767822	0.017898241	No	
row_5	HSPA9	1475	0.9161534309387207	0.017729528	No	
row_6	ETFB	1814	0.7927514910697937	0.0066803824	No	
row_7	HSCB	1952	0.7511226534843445	0.0076076537	No	
row_8	TTC19	2082	0.7100690603256226	0.00851609	No	
row_9	PYURF	3094	0.48559194803237915	-0.04824956	No	
row_10	NDUFAF4	3420	0.43507254123687744	-0.06298892	No	
row_11	MT-CO1	3633	0.4022276997566223	-0.071114026	No	
row_12	MT-CO2	3738	0.38864922523498535	-0.07269349	No	
row_13	MT-CYB	3822	0.3760104775428772	-0.07312594	No	
row_14	NDUFA5	3833	0.37444835901260376	-0.06903824	No	
row_15	MT-ND2	4165	0.3299056887626648	-0.08547347	No	
row_16	COQ10B	4401	0.30131667852401733	-0.09629811	No	
row_17	MT-ND5	4604	0.27785181999206543	-0.10536565	No	
row_18	SDHC	4759	0.263069748878479	-0.11163403	No	
row_19	MT-ND6	4794	0.25836628675460815	-0.11049888	No	
row_20	NDUFC2	4859	0.25171375274658203	-0.111313075	No	
row_21	COX19	5000	0.23768813908100128	-0.11703005	No	
row_22	GOT1	5084	0.22883562743663788	-0.119313575	No	
row_23	MT-ND4	5153	0.22208230197429657	-0.12074921	No	
row_24	MT-ND1	5386	0.19833603501319885	-0.13268252	No	
row_25	UQCC6	5484	0.18935908377170563	-0.13633321	No	
row_26	UQCRHL	5675	0.17194007337093353	-0.14598657	No	
row_27	LYRM7	5907	0.15241728723049164	-0.15843524	No	
row_28	HIGD1A	5975	0.14635030925273895	-0.16076119	No	
row_29	PET117	6043	0.14189600944519043	-0.16314317	No	
row_30	MT-ND3	6189	0.1300041377544403	-0.17052548	No	
