NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJB9	8	8.763114929199219	0.0534341	Yes	
row_1	ATF3	15	6.495048999786377	0.093034014	Yes	
row_2	FICD	16	6.205650329589844	0.1312268	Yes	
row_3	HSPA5	18	6.181375503540039	0.16920783	Yes	
row_4	HYOU1	31	4.5064568519592285	0.19619495	Yes	
row_5	HSPA1A	37	4.344179153442383	0.22261962	Yes	
row_6	MANF	47	4.131348609924316	0.24748512	Yes	
row_7	CXCL8	51	4.051668643951416	0.2722342	Yes	
row_8	DNAJC3	54	4.008908748626709	0.29678243	Yes	
row_9	UBXN4	59	3.9257824420928955	0.3206944	Yes	
row_10	HERPUD1	60	3.892378568649292	0.34465012	Yes	
row_11	CANX	75	3.407987117767334	0.36475202	Yes	
row_12	TNFRSF10B	144	2.655973434448242	0.3768599	Yes	
row_13	ERO1A	167	2.511047601699829	0.39094296	Yes	
row_14	SYVN1	186	2.409355878829956	0.40464947	Yes	
row_15	RNF185	196	2.3043079376220703	0.4182704	Yes	
row_16	SEL1L	215	2.2185592651367188	0.43080264	Yes	
row_17	DERL1	217	2.2163071632385254	0.4443806	Yes	
row_18	PDIA4	226	2.202294111251831	0.45743605	Yes	
row_19	PPP1R15A	239	2.1571500301361084	0.46996433	Yes	
row_20	PPP1R15B	246	2.1379525661468506	0.48274842	Yes	
row_21	DERL2	317	1.9366450309753418	0.49030453	Yes	
row_22	SELENOS	320	1.9295752048492432	0.50205547	Yes	
row_23	DDIT3	325	1.9217195510864258	0.51363343	Yes	
row_24	RPAP2	363	1.8520030975341797	0.5227254	Yes	
row_25	GSK3B	373	1.8265315294265747	0.5334059	Yes	
row_26	UBQLN1	375	1.820504903793335	0.54454786	Yes	
row_27	RNF103	434	1.7053139209747314	0.5514282	Yes	
row_28	HSP90B1	446	1.6852902173995972	0.5611147	Yes	
row_29	WFS1	479	1.642391562461853	0.56922835	Yes	
row_30	UBA5	506	1.6044529676437378	0.57748246	Yes	
row_31	UFM1	513	1.5883209705352783	0.5868838	Yes	
row_32	STT3B	659	1.436858057975769	0.58668935	Yes	
row_33	SELENOK	684	1.4139877557754517	0.59389585	Yes	
row_34	CCDC47	718	1.382328748703003	0.60034657	Yes	
row_35	CREB3L2	779	1.3395072221755981	0.6048509	Yes	
row_36	EDEM1	796	1.3241878747940063	0.6120034	Yes	
row_37	MARCHF6	856	1.2754969596862793	0.616176	Yes	
row_38	UBE2J1	863	1.269330382347107	0.6236142	Yes	
row_39	SERP1	978	1.1895653009414673	0.6238299	Yes	
row_40	EDEM3	1239	1.0250214338302612	0.61393297	Yes	
row_41	SEC16A	1266	1.010455846786499	0.61853135	Yes	
row_42	TRIB3	1335	0.9789986610412598	0.62031823	Yes	
row_43	YOD1	1520	0.8952369093894958	0.6143595	Yes	
row_44	TMCO1	1535	0.890036404132843	0.6189647	Yes	
row_45	UFL1	1585	0.87163907289505	0.62127507	Yes	
row_46	MAN1A2	1628	0.8555299043655396	0.62392265	Yes	
row_47	CREBZF	1650	0.8477166891098022	0.62783104	Yes	
row_48	PIK3R1	1762	0.8138563632965088	0.6259214	Yes	
row_49	ERN1	1834	0.7874120473861694	0.62634224	Yes	
row_50	SEC61B	1848	0.7845131158828735	0.6303603	Yes	
row_51	SEL1L2	1961	0.7472633719444275	0.62797856	No	
row_52	FOXRED2	2047	0.7184502482414246	0.6271023	No	
row_53	TBL2	2303	0.6547041535377502	0.6152379	No	
row_54	SIRT1	2401	0.6331847310066223	0.61308897	No	
row_55	ECPAS	2407	0.6320602297782898	0.6166674	No	
row_56	ATF6	2602	0.5855554342269897	0.60817945	No	
row_57	FAF2	2605	0.584571123123169	0.61165255	No	
row_58	AUP1	2612	0.5833740234375	0.61486894	No	
row_59	TP53	2646	0.5762232542037964	0.61635846	No	
row_60	SESN2	2650	0.5754324197769165	0.619713	No	
row_61	DDX3X	2767	0.5524961948394775	0.61588323	No	
row_62	XBP1	2803	0.5446518063545227	0.6170538	No	
row_63	PDIA3	2807	0.5441696643829346	0.6202159	No	
row_64	PARP16	2877	0.5288832783699036	0.61917025	No	
row_65	CEBPB	2958	0.5136222839355469	0.61734504	No	
row_66	ERP44	3041	0.4956761300563812	0.61528474	No	
row_67	ATP2A2	3076	0.48876386880874634	0.6161737	No	
row_68	TMX1	3205	0.4654250144958496	0.6110601	No	
row_69	THBS1	3373	0.4428156912326813	0.60337657	No	
row_70	GORASP2	3398	0.4389509856700897	0.6045822	No	
row_71	VAPB	3430	0.43357035517692566	0.6053184	No	
row_72	EIF2AK3	3491	0.4243590831756592	0.6041904	No	
row_73	PDIA6	3539	0.4169417917728424	0.60382706	No	
row_74	TRIM13	3728	0.3897351324558258	0.59450793	No	
row_75	AMFR	3858	0.3703487813472748	0.58874685	No	
row_76	FBXO2	3995	0.3514139652252197	0.5824329	No	
row_77	PSMC6	4018	0.3483659029006958	0.5832057	No	
row_78	PARP8	4043	0.3451174199581146	0.5838339	No	
row_79	PTPN1	4063	0.342846155166626	0.58475965	No	
row_80	RNF139	4620	0.2765354514122009	0.5518069	No	
row_81	UBQLN2	4692	0.26879772543907166	0.5490359	No	
row_82	TMEM259	4733	0.265802800655365	0.5481787	No	
row_83	DDRGK1	4773	0.26128777861595154	0.54735595	No	
row_84	ITPR1	4785	0.25910985469818115	0.54826504	No	
row_85	CREB3	4797	0.2580135762691498	0.54916734	No	
row_86	RHBDD2	4899	0.2477966696023941	0.54439723	No	
row_87	SGF29	5033	0.23370575904846191	0.53754586	No	
row_88	MBTPS2	5155	0.2220817655324936	0.53137094	No	
row_89	BCL2	5179	0.21878831088542938	0.5312839	No	
row_90	ATG10	5438	0.19353322684764862	0.5163942	No	
row_91	NCK1	5523	0.18566593527793884	0.5123013	No	
row_92	UBE2G2	5551	0.18252220749855042	0.51174176	No	
row_93	TMEM33	5575	0.18005412817001343	0.5114164	No	
row_94	CHAC1	5637	0.17435570061206818	0.5086874	No	
row_95	QRICH1	5726	0.16752015054225922	0.5042335	No	
row_96	DNAJC10	5762	0.16534800827503204	0.50306964	No	
row_97	VCP	5793	0.16295695304870605	0.5022027	No	
row_98	EDEM2	5865	0.15617351233959198	0.49873853	No	
row_99	TMTC3	5899	0.15291427075862885	0.4976228	No	
row_100	DAB2IP	6044	0.1418420374393463	0.48952043	No	
row_101	PDIA2	6073	0.1391351968050003	0.48863155	No	
row_102	NCK2	6128	0.13522015511989594	0.48609802	No	
row_103	CTH	6160	0.13230516016483307	0.4849801	No	
row_104	JKAMP	6251	0.12553277611732483	0.48014313	No	
row_105	HERPUD2	6329	0.12069352716207504	0.47608665	No	
row_106	NPLOC4	6341	0.11999934911727905	0.47613958	No	
row_107	SERP2	6389	0.11694559454917908	0.47392985	No	
row_108	CREB3L1	6449	0.112073615193367	0.47094223	No	
row_109	NFE2L2	6666	0.09739736467599869	0.45807868	No	
row_110	UBE4B	6667	0.09739463776350021	0.4586781	No	
row_111	MAN1A1	6683	0.09631314873695374	0.45833594	No	
row_112	UBE4A	6768	0.09066998958587646	0.45365837	No	
row_113	PRKN	6976	0.0774168074131012	0.4412328	No	
row_114	EIF2S1	7007	0.07535054534673691	0.4398267	No	
row_115	EIF4G1	7053	0.07211687415838242	0.43746576	No	
row_116	CASP4	7231	0.05981769412755966	0.42680174	No	
row_117	FAM8A1	7242	0.059213437139987946	0.42654288	No	
row_118	HM13	7312	0.05372492969036102	0.42257285	No	
row_119	BAG6	7348	0.05163116008043289	0.42070913	No	
row_120	TRAF2	7384	0.04944896325469017	0.41883197	No	
row_121	ATF4	7499	0.04177287220954895	0.4119836	No	
row_122	P4HB	7518	0.040351852774620056	0.41111	No	
row_123	PARP6	7537	0.03909825533628464	0.41022873	No	
row_124	CLGN	7595	0.035614434629678726	0.4068952	No	
row_125	CDK5RAP3	7627	0.03427550569176674	0.40517396	No	
row_126	AFG2B	7695	0.02988816797733307	0.4011819	No	
