NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	5	9.50696849822998	0.13428427	Yes	
row_1	INSIG1	9	8.75098991394043	0.2579895	Yes	
row_2	LDLR	19	6.042723178863525	0.34298205	Yes	
row_3	LPIN1	22	5.735593318939209	0.42405912	Yes	
row_4	SREBF2	49	4.0937395095825195	0.48040855	Yes	
row_5	SEC23B	112	2.882575750350952	0.517386	Yes	
row_6	FASN	233	2.177678108215332	0.5407991	Yes	
row_7	DBI	248	2.1313040256500244	0.57010734	Yes	
row_8	IDI1	307	1.9572927951812744	0.5942325	Yes	
row_9	PRKAG2	347	1.8773193359375	0.6183998	Yes	
row_10	FDPS	404	1.7732125520706177	0.6400425	Yes	
row_11	ACACA	463	1.6638715267181396	0.66001356	Yes	
row_12	HMGCS1	560	1.535325527191162	0.67581606	Yes	
row_13	MVD	709	1.3866556882858276	0.68629974	Yes	
row_14	SCARB1	758	1.3500685691833496	0.7024463	Yes	
row_15	HMGCR	920	1.2271790504455566	0.7098687	Yes	
row_16	SQLE	967	1.1970161199569702	0.7239721	Yes	
row_17	SAR1B	1143	1.0816693305969238	0.72846913	Yes	
row_18	NFYA	1168	1.0654807090759277	0.7420701	Yes	
row_19	ACSS1	1578	0.8752405047416687	0.72918147	No	
row_20	CYP51A1	1629	0.8552666306495667	0.73819935	No	
row_21	CREB1	1829	0.7892425656318665	0.737073	No	
row_22	PRKAA2	2267	0.6662200093269348	0.7194946	No	
row_23	SIRT1	2401	0.6331847310066223	0.72023827	No	
row_24	MED15	3091	0.4863204061985016	0.6845372	No	
row_25	FDFT1	3287	0.45500648021698	0.6789262	No	
row_26	SEC31B	3522	0.4195474684238434	0.6704027	No	
row_27	PIK3CA	3791	0.3802254796028137	0.659221	No	
row_28	PRKAA1	3825	0.37539541721343994	0.6624959	No	
row_29	AMFR	3858	0.3703487813472748	0.6657612	No	
row_30	ACLY	3918	0.3622736930847168	0.6672433	No	
row_31	RNF139	4620	0.2765354514122009	0.62783056	No	
row_32	PRKAB1	5150	0.2224617600440979	0.5982833	No	
row_33	MBTPS2	5155	0.2220817655324936	0.60118014	No	
row_34	GSK3A	6150	0.13317860662937164	0.54162794	No	
row_35	SEC24C	6553	0.10525809228420258	0.5182711	No	
row_36	SP1	7220	0.06040297821164131	0.47796175	No	
row_37	PPARG	7674	0.03165595233440399	0.45041066	No	
row_38	MTOR	7866	0.018958522006869316	0.43887365	No	
row_39	SEC23A	10057	-0.1170412078499794	0.30516997	No	
row_40	SEC31A	10158	-0.12445412576198578	0.30075106	No	
row_41	NR1H2	10780	-0.1719985008239746	0.26480302	No	
row_42	YY1	11530	-0.23462598025798798	0.2218301	No	
row_43	SAR1A	11641	-0.24472635984420776	0.21849585	No	
row_44	MBTPS1	12045	-0.2836020588874817	0.19760206	No	
row_45	GPAM	12435	-0.3290332555770874	0.17821679	No	
row_46	PRKAG1	12718	-0.36367642879486084	0.16593546	No	
row_47	PRKAB2	12942	-0.39079225063323975	0.15768474	No	
row_48	CDK8	15273	-0.9179702401161194	0.026666902	No	
row_49	PPARGC1B	15534	-1.0520631074905396	0.025491094	No	
row_50	PRKAG3	15768	-1.2293260097503662	0.028493684	No	
