NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TPM4	5266	0.20957055687904358	-0.30855533	No	
row_1	TMOD1	6122	0.1357254981994629	-0.35064298	No	
row_2	MYH3	6933	0.0806945264339447	-0.39428726	No	
row_3	DMD	7232	0.05980651080608368	-0.40797177	No	
row_4	MYL2	7514	0.04065193608403206	-0.4221156	No	
row_5	ACTN2	7693	0.030065564438700676	-0.4307352	No	
row_6	TMOD3	8493	-0.01483766920864582	-0.47888753	No	
row_7	MYH8	8660	-0.025167785584926605	-0.48715216	No	
row_8	TNNT2	8905	-0.04122288152575493	-0.49896705	No	
row_9	TMOD2	8977	-0.045592647045850754	-0.49975875	No	
row_10	MYL3	9428	-0.07545725256204605	-0.5215933	No	
row_11	MYH6	9683	-0.09080661088228226	-0.53012013	No	
row_12	TTN	9920	-0.10759841650724411	-0.5362133	No	
row_13	NEB	11084	-0.19632181525230408	-0.5925405	No	
row_14	TPM2	11719	-0.25103074312210083	-0.6119044	No	
row_15	VIM	13214	-0.4287329614162445	-0.67035836	Yes	
row_16	TNNC1	13395	-0.4561381936073303	-0.64554274	Yes	
row_17	DES	13585	-0.4840395748615265	-0.619085	Yes	
row_18	TPM1	13589	-0.484793096780777	-0.5810865	Yes	
row_19	TNNC2	13603	-0.487066388130188	-0.5435262	Yes	
row_20	TPM3	14093	-0.5775972008705139	-0.52821815	Yes	
row_21	TNNT1	14141	-0.5870057940483093	-0.48488513	Yes	
row_22	TNNI1	14298	-0.6202646493911743	-0.4456609	Yes	
row_23	TNNT3	14362	-0.6326819062232971	-0.39971793	Yes	
row_24	MYL4	14440	-0.6494466066360474	-0.35331872	Yes	
row_25	TNNI2	14604	-0.6887621879577637	-0.30913153	Yes	
row_26	MYL1	15264	-0.9125867486000061	-0.27793258	Yes	
row_27	MYBPC1	15655	-1.1360746622085571	-0.21252611	Yes	
row_28	TCAP	16019	-1.5593570470809937	-0.112114035	Yes	
row_29	MYBPC2	16034	-1.587235689163208	0.012037056	Yes	
