NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20250810%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20250810%WP111%HOMO SAPIENS	Details ...	76	-0.626803	-2.378882	0.0	8.9544686E-4	0.001	3763	tags=67%, list=23%, signal=87%	
OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20250810%WP623%HOMO SAPIENS	OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20250810%WP623%HOMO SAPIENS	Details ...	40	-0.6767713	-2.3007436	0.0	4.4772343E-4	0.001	3763	tags=68%, list=23%, signal=88%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	Details ...	95	-0.57721484	-2.2579255	0.0	6.013916E-4	0.002	3764	tags=60%, list=23%, signal=78%	
MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20250810%WP4324%HOMO SAPIENS	MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20250810%WP4324%HOMO SAPIENS	Details ...	42	-0.6684217	-2.2388198	0.0	4.5104368E-4	0.002	3763	tags=64%, list=23%, signal=83%	
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details ...	75	-0.5817704	-2.22168	0.0	7.237081E-4	0.004	3764	tags=61%, list=23%, signal=79%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	Details ...	75	-0.5824424	-2.2049723	0.0	0.0012135484	0.008	3764	tags=61%, list=23%, signal=79%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME%R-HSA-5389840.3	Details ...	88	-0.5604585	-2.203629	0.0	0.001170523	0.009	3414	tags=47%, list=21%, signal=59%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details ...	75	-0.5824424	-2.1914654	0.0	0.0014738675	0.013	3764	tags=61%, list=23%, signal=79%	
STRIATED MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 93%390522	STRIATED MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 93%390522	Details ...	30	-0.7041266	-2.1894515	0.0	0.0013101044	0.013	3017	tags=50%, list=19%, signal=61%	
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	Details ...	67	-0.5755262	-2.1667774	0.0	0.0015402235	0.017	4355	tags=64%, list=27%, signal=87%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105	RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 93%611105	Details ...	150	-0.4918649	-2.1142063	0.0	0.003383349	0.04	3867	tags=53%, list=24%, signal=69%	
DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 93%69190	DNA STRAND ELONGATION%REACTOME DATABASE ID RELEASE 93%69190	Details ...	32	-0.64489377	-2.0974753	0.0	0.0043116612	0.055	3002	tags=56%, list=18%, signal=69%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	108	-0.5146469	-2.0908055	0.0	0.0048866416	0.068	4662	tags=56%, list=29%, signal=77%	
MITOCHONDRIAL RIBOSOME-ASSOCIATED QUALITY CONTROL%REACTOME%R-HSA-9937383.1	MITOCHONDRIAL RIBOSOME-ASSOCIATED QUALITY CONTROL%REACTOME%R-HSA-9937383.1	Details ...	90	-0.5393612	-2.090283	0.0	0.0045375954	0.068	3414	tags=44%, list=21%, signal=56%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	Details ...	61	-0.5725592	-2.0901039	0.0	0.0042350893	0.068	4355	tags=64%, list=27%, signal=87%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 93%5368286	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 93%5368286	Details ...	88	-0.5393851	-2.084087	0.0	0.004647583	0.08	3414	tags=43%, list=21%, signal=54%	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206	Details ...	77	-0.5464896	-2.075261	0.0	0.005069244	0.092	4355	tags=64%, list=27%, signal=87%	
COMPLEX IV ASSEMBLY%REACTOME%R-HSA-9864848.2	COMPLEX IV ASSEMBLY%REACTOME%R-HSA-9864848.2	Details ...	43	-0.6080355	-2.0751746	0.0	0.0047876197	0.092	3479	tags=53%, list=21%, signal=68%	
PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	Details ...	77	-0.5464896	-2.068296	0.0	0.005251254	0.107	4355	tags=64%, list=27%, signal=87%	
MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	Details ...	41	-0.60697764	-2.0680106	0.0	0.0049886913	0.107	3764	tags=59%, list=23%, signal=76%	
ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754	ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754		73	-0.5410746	-2.018063	0.0	0.011342575	0.223	4355	tags=63%, list=27%, signal=86%	
RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009201	RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009201		81	-0.53109086	-2.0078244	0.0	0.012679002	0.255	4355	tags=62%, list=27%, signal=84%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108		88	-0.51303566	-2.0041227	0.0	0.012801894	0.269	4073	tags=48%, list=25%, signal=63%	
MITOCHONDRIAL COMPLEX IV ASSEMBLY%WIKIPATHWAYS_20250810%WP4922%HOMO SAPIENS	MITOCHONDRIAL COMPLEX IV ASSEMBLY%WIKIPATHWAYS_20250810%WP4922%HOMO SAPIENS		26	-0.65341556	-1.9781777	0.0	0.018049333	0.374	3479	tags=62%, list=21%, signal=78%	
PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME DATABASE ID RELEASE 93%389957	PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME DATABASE ID RELEASE 93%389957		25	-0.6432414	-1.9756241	0.0	0.017975884	0.385	3606	tags=60%, list=22%, signal=77%	
